identifiant_agence,identifiant_institution,libelle_agence,zone,date_ouverture,date_fermeture
AGE-001,INS-001,Agence centrale,urbaine,2006-03-15,
AGE-002,INS-001,Agence du marché,urbaine,2010-06-08,
AGE-003,INS-001,Agence nord,urbaine,2019-04-28,
AGE-004,INS-001,Agence sud,semi_urbaine,2011-07-31,
AGE-005,INS-001,Agence est,urbaine,2013-10-04,
AGE-006,INS-001,Agence ouest,urbaine,2016-06-07,
AGE-007,INS-001,Agence de la gare,urbaine,2018-11-04,
AGE-008,INS-001,Agence du fleuve,semi_urbaine,2009-12-26,
AGE-009,INS-002,Agence centrale,rurale,2003-11-02,
AGE-010,INS-002,Agence du marché,rurale,2005-04-21,
AGE-011,INS-002,Agence nord,rurale,2003-12-25,2023-07-08
AGE-012,INS-002,Agence sud,semi_urbaine,2015-07-27,
AGE-013,INS-002,Agence est,urbaine,2021-06-05,
AGE-014,INS-002,Agence ouest,rurale,2011-05-12,
AGE-015,INS-002,Agence de la gare,rurale,2007-12-08,
AGE-016,INS-002,Agence du fleuve,rurale,2017-06-28,
AGE-017,INS-002,Agence des artisans,semi_urbaine,2012-12-16,
AGE-018,INS-002,Agence de la route,urbaine,2011-01-25,
AGE-019,INS-002,Agence du plateau,rurale,2012-04-16,
AGE-020,INS-003,Agence centrale,urbaine,2011-06-20,
AGE-021,INS-003,Agence du marché,semi_urbaine,2019-10-12,
AGE-022,INS-003,Agence nord,rurale,2017-10-17,
AGE-023,INS-003,Agence sud,semi_urbaine,2017-04-01,
AGE-024,INS-003,Agence est,urbaine,2024-01-02,
AGE-025,INS-003,Agence ouest,semi_urbaine,2013-05-28,
AGE-026,INS-004,Agence centrale,urbaine,2008-01-30,
AGE-027,INS-004,Agence du marché,semi_urbaine,2017-08-11,
AGE-028,INS-004,Agence nord,rurale,2017-05-12,
AGE-029,INS-004,Agence sud,semi_urbaine,2018-04-16,
AGE-030,INS-004,Agence est,urbaine,2024-08-01,
AGE-031,INS-004,Agence ouest,semi_urbaine,2017-09-01,
AGE-032,INS-004,Agence de la gare,rurale,2020-04-27,
AGE-033,INS-004,Agence du fleuve,semi_urbaine,2015-05-15,
AGE-034,INS-004,Agence des artisans,urbaine,2013-10-16,
AGE-035,INS-005,Agence centrale,urbaine,2018-09-12,
AGE-036,INS-005,Agence du marché,semi_urbaine,2023-12-02,
AGE-037,INS-005,Agence nord,rurale,2020-09-07,
AGE-038,INS-005,Agence sud,semi_urbaine,2020-05-11,
AGE-039,INS-005,Agence est,urbaine,2018-10-06,
AGE-040,INS-005,Agence ouest,semi_urbaine,2020-02-03,
AGE-041,INS-005,Agence de la gare,rurale,2018-11-02,
