identifiant_client,identifiant_institution,identifiant_agence,date_entree_relation,date_sortie_relation,code_secteur_principal,anciennete_activite_mois_a_entree,possede_compte_epargne,montant_epargne_a_entree
CLT-000001,INS-001,AGE-002,2014-02-17,2018-04-17,COMMERCE,64,0,
CLT-000002,INS-001,AGE-001,2014-04-23,2020-08-23,COMMERCE,138,0,
CLT-000003,INS-001,AGE-002,2014-07-01,2024-08-01,COMMERCE,360,0,
CLT-000004,INS-001,AGE-001,2015-02-08,2021-05-08,PETITE_PRODUCTION,51,0,
CLT-000005,INS-001,AGE-002,2015-03-16,2019-02-16,COMMERCE,124,1,22000
CLT-000006,INS-001,AGE-002,2015-07-04,,COMMERCE,77,0,
CLT-000007,INS-001,AGE-001,2015-08-13,2019-06-13,TRANSPORT,48,0,
CLT-000008,INS-001,AGE-002,2015-09-11,,TRANSPORT,38,1,24000
CLT-000009,INS-001,AGE-002,2015-12-21,2022-02-21,COMMERCE,141,0,
CLT-000010,INS-001,AGE-002,2016-01-25,,COMMERCE,29,1,47000
CLT-000011,INS-001,AGE-001,2016-11-18,2018-01-18,TRANSPORT,109,0,
CLT-000012,INS-001,AGE-002,2017-04-13,,COMMERCE,30,1,44000
CLT-000013,INS-001,AGE-001,2017-05-01,,SERVICES,26,0,
CLT-000014,INS-001,AGE-001,2018-06-20,,SERVICES,37,0,
CLT-000015,INS-001,AGE-002,2018-08-06,2025-09-06,COMMERCE,96,1,81500
CLT-000016,INS-001,AGE-001,2019-01-31,2023-02-28,COMMERCE,24,1,23500
CLT-000017,INS-001,AGE-002,2019-08-30,2025-08-30,COMMERCE,12,1,12500
CLT-000018,INS-001,AGE-001,2019-12-13,2024-09-13,TRANSPORT,27,1,53000
CLT-000019,INS-001,AGE-001,2020-04-28,,ARTISANAT,18,0,
CLT-000020,INS-001,AGE-001,2020-09-19,,COMMERCE,18,1,73500
CLT-000021,INS-001,AGE-001,2020-10-25,2023-05-25,ARTISANAT,66,1,31000
CLT-000022,INS-001,AGE-002,2020-11-30,,SERVICES,108,1,26000
