identifiant_activite,identifiant_client,identifiant_institution,code_secteur,libelle_activite,est_activite_principale,date_debut_activite,date_fin_activite
ACT-000001,CLT-000001,INS-001,COMMERCE,Boutique de quartier,1,2008-10-17,
ACT-000002,CLT-000002,INS-001,COMMERCE,Vente de céréales,1,2002-10-23,
ACT-000003,CLT-000003,INS-001,COMMERCE,Vente de céréales,1,1984-07-01,
ACT-000004,CLT-000003,INS-001,ARTISANAT,Menuiserie,0,1984-07-01,
ACT-000005,CLT-000004,INS-001,PETITE_PRODUCTION,Production de jus,1,2010-11-08,
ACT-000006,CLT-000004,INS-001,SERVICES,Coiffure,0,2010-11-08,
ACT-000007,CLT-000005,INS-001,COMMERCE,Commerce de condiments,1,2004-11-16,
ACT-000008,CLT-000006,INS-001,COMMERCE,Boutique de quartier,1,2009-02-04,
ACT-000009,CLT-000007,INS-001,TRANSPORT,Location de tricycle,1,2011-08-13,
ACT-000010,CLT-000008,INS-001,TRANSPORT,Location de tricycle,1,2012-07-11,
ACT-000011,CLT-000009,INS-001,COMMERCE,Vente de tissus,1,2004-03-21,
ACT-000012,CLT-000009,INS-001,ARTISANAT,Menuiserie,0,2004-03-21,
ACT-000013,CLT-000010,INS-001,COMMERCE,Vente de céréales,1,2013-08-25,
ACT-000014,CLT-000010,INS-001,AGRICULTURE,Culture maraîchère,0,2013-08-25,
ACT-000015,CLT-000011,INS-001,TRANSPORT,Location de tricycle,1,2007-10-18,
ACT-000016,CLT-000011,INS-001,COMMERCE,Boutique de quartier,0,2007-10-18,
ACT-000017,CLT-000012,INS-001,COMMERCE,Boutique de quartier,1,2014-10-13,
ACT-000018,CLT-000013,INS-001,SERVICES,Réparation de téléphones,1,2015-03-01,
ACT-000019,CLT-000014,INS-001,SERVICES,Secrétariat public,1,2015-05-20,
ACT-000020,CLT-000015,INS-001,COMMERCE,Vente de céréales,1,2010-08-06,
ACT-000021,CLT-000016,INS-001,COMMERCE,Vente de tissus,1,2017-01-31,
