identifiant_releve,identifiant_activite,identifiant_client,identifiant_institution,date_releve,origine_releve,recettes_mensuelles_declarees,charges_mensuelles_declarees,stock_estime,autres_revenus_menage,charges_menage,dette_externe_mensualite
REL-000001,ACT-000003,CLT-000003,INS-001,2021-01-01,entree_relation,739566,708571,,375252,35539,
REL-000002,ACT-000004,CLT-000003,INS-001,2021-01-01,entree_relation,142756,100380,,375252,35539,
REL-000003,ACT-000003,CLT-000003,INS-001,2022-12-21,instruction_demande,1275428,1214341,939254,329383,20026,
REL-000004,ACT-000004,CLT-000003,INS-001,2022-12-21,instruction_demande,170674,119263,,,20026,
REL-000005,ACT-000003,CLT-000003,INS-001,2023-01-07,visite_suivi,959416,938314,861570,593540,36805,
REL-000006,ACT-000004,CLT-000003,INS-001,2023-01-07,visite_suivi,164658,,,593540,36805,
REL-000007,ACT-000005,CLT-000004,INS-001,2021-01-01,entree_relation,166696,114623,203991,0,70938,
REL-000008,ACT-000006,CLT-000004,INS-001,2021-01-01,entree_relation,,171079,,0,70938,
REL-000009,ACT-000008,CLT-000006,INS-001,2021-01-01,entree_relation,235876,224514,345466,0,4477,
REL-000010,ACT-000008,CLT-000006,INS-001,2023-01-29,visite_suivi,216314,220997,209288,0,1688,
REL-000011,ACT-000008,CLT-000006,INS-001,2023-07-07,instruction_demande,187589,150628,112175,0,3751,
REL-000012,ACT-000008,CLT-000006,INS-001,2024-04-14,instruction_demande,141445,97207,147417,0,860,
REL-000013,ACT-000010,CLT-000008,INS-001,2021-01-01,entree_relation,369712,277176,,0,60382,133000
REL-000014,ACT-000010,CLT-000008,INS-001,2022-01-08,visite_suivi,406269,306428,,0,66419,180500
REL-000015,ACT-000010,CLT-000008,INS-001,2022-10-12,instruction_demande,634964,332422,,0,71101,226500
REL-000016,ACT-000010,CLT-000008,INS-001,2023-08-11,instruction_demande,,253558,,0,58757,290500
REL-000017,ACT-000010,CLT-000008,INS-001,2024-11-14,instruction_demande,671378,359511,,0,86463,424500
REL-000018,ACT-000011,CLT-000009,INS-001,2021-01-01,entree_relation,438248,325184,465181,0,62946,
REL-000019,ACT-000012,CLT-000009,INS-001,2021-01-01,entree_relation,147775,113462,,0,62946,
REL-000020,ACT-000011,CLT-000009,INS-001,2022-01-19,visite_suivi,489492,363970,555628,0,,
REL-000021,ACT-000012,CLT-000009,INS-001,2022-01-19,visite_suivi,268235,206383,,0,78094,
REL-000022,ACT-000013,CLT-000010,INS-001,2021-01-01,entree_relation,1029566,929245,1318503,0,45454,
REL-000023,ACT-000014,CLT-000010,INS-001,2021-01-01,entree_relation,31512,25543,,0,45454,
REL-000024,ACT-000013,CLT-000010,INS-001,2022-01-23,visite_suivi,730921,637975,500231,0,34943,
REL-000025,ACT-000014,CLT-000010,INS-001,2022-01-23,visite_suivi,60600,47502,,0,34943,
REL-000026,ACT-000013,CLT-000010,INS-001,2023-01-12,visite_suivi,1170844,1045771,1028023,0,42859,
REL-000027,ACT-000014,CLT-000010,INS-001,2023-01-12,visite_suivi,,28282,,0,42859,
REL-000028,ACT-000013,CLT-000010,INS-001,2024-06-26,instruction_demande,501631,347417,367430,0,16950,
REL-000029,ACT-000014,CLT-000010,INS-001,2024-06-26,instruction_demande,35198,21892,,0,16950,
REL-000030,ACT-000013,CLT-000010,INS-001,2025-01-16,visite_suivi,241011,257733,237322,0,0,
REL-000031,ACT-000014,CLT-000010,INS-001,2025-01-16,visite_suivi,9507,9131,,0,0,
REL-000032,ACT-000013,CLT-000010,INS-001,2025-10-08,instruction_demande,627123,558198,244755,0,0,
REL-000033,ACT-000014,CLT-000010,INS-001,2025-10-08,instruction_demande,56077,,,0,0,
REL-000034,ACT-000017,CLT-000012,INS-001,2021-01-01,entree_relation,91487,77222,59077,23519,,
REL-000035,ACT-000017,CLT-000012,INS-001,2022-01-28,visite_suivi,105120,91356,151575,24556,5773,
REL-000036,ACT-000017,CLT-000012,INS-001,2023-01-02,visite_suivi,63899,52733,68398,20017,2902,
REL-000037,ACT-000017,CLT-000012,INS-001,2024-01-12,visite_suivi,71743,66332,36305,19666,3679,
REL-000038,ACT-000017,CLT-000012,INS-001,2024-02-24,instruction_demande,49786,35348,77425,20373,2402,
