identifiant_demande,identifiant_client,identifiant_institution,identifiant_agent,identifiant_produit,date_demande,montant_demande,duree_demandee_mois,objet_credit,identifiant_releve_instruction,rang_demande_client
DEM-000001,CLT-000003,INS-001,AGT-0001,PRO-002,2022-12-21,600000,12,achat_stock,REL-000003,1
DEM-000002,CLT-000006,INS-001,AGT-0001,PRO-002,2023-07-07,135000,6,achat_stock,REL-000011,1
DEM-000003,CLT-000006,INS-001,AGT-0001,PRO-005,2024-04-14,395000,12,equipement,REL-000012,2
DEM-000004,CLT-000008,INS-001,AGT-0001,PRO-001,2022-10-12,250000,6,tresorerie,REL-000015,1
DEM-000005,CLT-000008,INS-001,AGT-0001,PRO-002,2023-08-11,325000,3,achat_stock,REL-000016,2
DEM-000006,CLT-000008,INS-001,AGT-0001,PRO-002,2024-11-14,600000,12,achat_stock,REL-000017,3
DEM-000007,CLT-000010,INS-001,AGT-0001,PRO-003,2024-06-26,900000,9,achat_stock,REL-000028,1
DEM-000008,CLT-000010,INS-001,AGT-0001,PRO-002,2025-10-08,600000,9,achat_stock,REL-000032,2
DEM-000009,CLT-000012,INS-001,AGT-0001,PRO-003,2024-02-24,130000,12,achat_stock,REL-000038,1
DEM-000010,CLT-000013,INS-001,AGT-0001,PRO-002,2025-03-23,305000,12,achat_stock,REL-000044,1
DEM-000011,CLT-000014,INS-001,AGT-0001,PRO-005,2023-09-24,585000,12,equipement,REL-000047,1
DEM-000012,CLT-000015,INS-001,AGT-0001,PRO-002,2023-03-08,185000,6,achat_stock,REL-000050,1
DEM-000013,CLT-000018,INS-001,AGT-0001,PRO-002,2023-12-08,600000,3,achat_stock,REL-000056,1
DEM-000014,CLT-000018,INS-001,AGT-0001,PRO-002,2024-07-25,510000,6,achat_stock,REL-000057,2
DEM-000015,CLT-000019,INS-001,AGT-0001,PRO-001,2022-11-15,250000,9,tresorerie,REL-000059,1
DEM-000016,CLT-000019,INS-001,AGT-0001,PRO-001,2024-03-13,205000,3,tresorerie,REL-000061,2
DEM-000017,CLT-000020,INS-001,AGT-0001,PRO-003,2023-04-09,900000,12,achat_stock,REL-000064,1
