identifiant_decision,identifiant_demande,identifiant_institution,date_decision,statut,motif_principal,montant_accorde,duree_accordee_mois
DEC-000001,DEM-000001,INS-001,2024-06-27,ACCEPTEE,,435000,3
DEC-000002,DEM-000002,INS-001,2025-06-04,REFUSEE,capacite_insuffisante,,
DEC-000003,DEM-000003,INS-001,2023-07-25,ACCEPTEE,,135000,6
DEC-000004,DEM-000004,INS-001,2024-04-26,ACCEPTEE,,245000,12
DEC-000005,DEM-000005,INS-001,2022-10-23,REFUSEE,endettement_eleve,,
DEC-000006,DEM-000006,INS-001,2024-07-24,REFUSEE,endettement_eleve,,
DEC-000007,DEM-000007,INS-001,2025-10-18,REFUSEE,endettement_eleve,,
DEC-000008,DEM-000008,INS-001,2021-10-10,ACCEPTEE,,600000,12
DEC-000009,DEM-000009,INS-001,2022-10-12,ACCEPTEE,,900000,9
DEC-000010,DEM-000010,INS-001,2023-10-16,ACCEPTEE,,600000,9
DEC-000011,DEM-000011,INS-001,2024-08-14,ACCEPTEE,,1500000,12
DEC-000012,DEM-000012,INS-001,2021-03-17,ACCEPTEE,,600000,6
DEC-000013,DEM-000013,INS-001,2023-05-06,ACCEPTEE,,900000,9
DEC-000014,DEM-000014,INS-001,2025-03-02,REFUSEE,capacite_insuffisante,,
DEC-000015,DEM-000015,INS-001,2024-02-28,ACCEPTEE,,130000,12
DEC-000016,DEM-000016,INS-001,2024-01-24,ACCEPTEE,,485000,12
DEC-000017,DEM-000017,INS-001,2022-01-16,ACCEPTEE,,900000,12
DEC-000018,DEM-000018,INS-001,2024-06-14,ACCEPTEE,,900000,9
DEC-000019,DEM-000019,INS-001,2022-12-03,ACCEPTEE,,250000,9
DEC-000020,DEM-000020,INS-001,2023-11-16,ACCEPTEE,,250000,9
DEC-000021,DEM-000021,INS-001,2025-04-27,ACCEPTEE,,250000,3
DEC-000022,DEM-000022,INS-001,2023-04-17,ACCEPTEE,,900000,12
DEC-000023,DEM-000023,INS-001,2024-11-12,ACCEPTEE,,900000,12
DEC-000024,DEM-000024,INS-001,2022-11-06,ACCEPTEE,,250000,9
DEC-000025,DEM-000025,INS-001,2023-06-13,ACCEPTEE,,600000,9
DEC-000026,DEM-000026,INS-001,2025-06-22,ACCEPTEE,,600000,12
DEC-000027,DEM-000027,INS-001,2022-03-01,REFUSEE,capacite_insuffisante,,
DEC-000028,DEM-000028,INS-001,2022-08-18,REFUSEE,capacite_insuffisante,,
DEC-000029,DEM-000029,INS-001,2023-09-21,ACCEPTEE,,250000,6
DEC-000030,DEM-000030,INS-001,2024-07-26,ACCEPTEE,,470000,12
DEC-000031,DEM-000031,INS-001,2022-01-11,ACCEPTEE,,300000,9
DEC-000032,DEM-000032,INS-001,2024-11-02,ACCEPTEE,,175000,9
DEC-000033,DEM-000033,INS-001,2025-10-16,ACCEPTEE,,600000,6
DEC-000034,DEM-000034,INS-001,2021-09-20,ACCEPTEE,,235000,9
DEC-000035,DEM-000035,INS-001,2022-09-08,ACCEPTEE,,600000,12
DEC-000036,DEM-000036,INS-001,2024-05-11,REFUSEE,capacite_insuffisante,,
DEC-000037,DEM-000037,INS-001,2025-09-21,ACCEPTEE,,60000,3
DEC-000038,DEM-000038,INS-001,2021-07-27,ACCEPTEE,,435000,12
DEC-000039,DEM-000039,INS-001,2021-01-24,ACCEPTEE,,215000,6
DEC-000040,DEM-000040,INS-001,2022-10-20,ACCEPTEE,,1365000,18
DEC-000041,DEM-000041,INS-001,2024-05-22,ACCEPTEE,,250000,9
DEC-000042,DEM-000042,INS-001,2023-06-13,ACCEPTEE,,75000,6
DEC-000043,DEM-000043,INS-001,2021-08-29,ACCEPTEE,,155000,9
DEC-000044,DEM-000044,INS-001,2023-07-12,ACCEPTEE,,245000,12
DEC-000045,DEM-000045,INS-001,2024-08-23,ACCEPTEE,,175000,12
DEC-000046,DEM-000046,INS-001,2025-09-29,ACCEPTEE,,70000,9
DEC-000047,DEM-000047,INS-001,2021-08-24,REFUSEE,capacite_insuffisante,,
DEC-000048,DEM-000048,INS-001,2024-05-29,ACCEPTEE,,395000,12
DEC-000049,DEM-000049,INS-001,2023-02-07,ANNULEE_CLIENT,,,
DEC-000050,DEM-000050,INS-001,2025-08-31,REFUSEE,capacite_insuffisante,,
DEC-000051,DEM-000051,INS-001,2021-10-27,ACCEPTEE,,600000,12
DEC-000052,DEM-000052,INS-001,2024-04-18,ACCEPTEE,,250000,3
DEC-000053,DEM-000053,INS-001,2025-02-24,ACCEPTEE,,1500000,12
DEC-000054,DEM-000054,INS-001,2022-03-29,ACCEPTEE,,165000,9
DEC-000055,DEM-000055,INS-001,2022-01-26,ACCEPTEE,,155000,6
DEC-000056,DEM-000056,INS-001,2023-06-25,ACCEPTEE,,85000,12
DEC-000057,DEM-000057,INS-001,2025-08-12,ACCEPTEE,,115000,6
DEC-000058,DEM-000058,INS-001,2022-11-24,AJOURNEE,dossier_incomplet,,
DEC-000059,DEM-000059,INS-001,2023-07-22,ACCEPTEE,,250000,9
DEC-000060,DEM-000060,INS-001,2022-09-25,ACCEPTEE,,390000,9
DEC-000061,DEM-000061,INS-001,2023-02-10,ACCEPTEE,,295000,6
DEC-000062,DEM-000062,INS-001,2023-11-16,ACCEPTEE,,240000,6
DEC-000063,DEM-000063,INS-001,2024-12-16,ACCEPTEE,,900000,9
DEC-000064,DEM-000064,INS-001,2021-12-24,REFUSEE,capacite_insuffisante,,
DEC-000065,DEM-000065,INS-001,2023-01-30,ACCEPTEE,,415000,9
DEC-000066,DEM-000066,INS-001,2024-05-29,ACCEPTEE,,790000,24
DEC-000067,DEM-000067,INS-001,2021-03-17,ACCEPTEE,,600000,12
DEC-000068,DEM-000068,INS-001,2023-02-17,REFUSEE,capacite_insuffisante,,
DEC-000069,DEM-000069,INS-001,2024-03-27,ACCEPTEE,,600000,12
DEC-000070,DEM-000070,INS-001,2024-08-19,REFUSEE,capacite_insuffisante,,
DEC-000071,DEM-000071,INS-001,2025-08-24,ACCEPTEE,,105000,9
DEC-000072,DEM-000072,INS-001,2021-11-01,ACCEPTEE,,600000,9
DEC-000073,DEM-000073,INS-001,2022-11-17,ACCEPTEE,,645000,12
DEC-000074,DEM-000074,INS-001,2024-01-10,ACCEPTEE,,440000,9
DEC-000075,DEM-000075,INS-001,2024-12-08,ACCEPTEE,,250000,9
DEC-000076,DEM-000076,INS-001,2023-12-13,ACCEPTEE,,690000,9
DEC-000077,DEM-000077,INS-001,2023-01-18,ACCEPTEE,,425000,3
DEC-000078,DEM-000078,INS-001,2021-12-23,ACCEPTEE,,250000,9
DEC-000079,DEM-000079,INS-001,2022-04-07,ACCEPTEE,,250000,6
DEC-000080,DEM-000080,INS-001,2024-03-14,ACCEPTEE,,250000,9
DEC-000081,DEM-000081,INS-001,2025-07-20,ACCEPTEE,,455000,12
DEC-000082,DEM-000082,INS-001,2021-10-24,ACCEPTEE,,155000,12
DEC-000083,DEM-000083,INS-001,2024-07-26,ACCEPTEE,,150000,18
DEC-000084,DEM-000084,INS-001,2021-07-10,ACCEPTEE,,385000,9
DEC-000085,DEM-000085,INS-001,2022-09-17,ACCEPTEE,,675000,12
DEC-000086,DEM-000086,INS-001,2023-03-15,REFUSEE,capacite_insuffisante,,
DEC-000087,DEM-000087,INS-001,2021-04-13,ACCEPTEE,,305000,6
DEC-000088,DEM-000088,INS-001,2023-12-12,ACCEPTEE,,405000,12
DEC-000089,DEM-000089,INS-001,2023-05-08,AJOURNEE,dossier_incomplet,,
DEC-000090,DEM-000090,INS-001,2021-05-28,ACCEPTEE,,250000,3
DEC-000091,DEM-000091,INS-001,2025-06-16,REFUSEE,capacite_insuffisante,,
DEC-000092,DEM-000092,INS-001,2021-04-07,ACCEPTEE,,250000,3
DEC-000093,DEM-000093,INS-001,2025-04-12,REFUSEE,capacite_insuffisante,,
DEC-000094,DEM-000094,INS-001,2022-01-09,ACCEPTEE,,535000,9
DEC-000095,DEM-000095,INS-001,2023-08-27,ACCEPTEE,,250000,9
DEC-000096,DEM-000096,INS-001,2024-07-13,ACCEPTEE,,600000,6
DEC-000097,DEM-000097,INS-001,2021-09-01,ACCEPTEE,,600000,12
DEC-000098,DEM-000098,INS-001,2025-05-23,ACCEPTEE,,250000,9
DEC-000099,DEM-000099,INS-001,2021-11-03,ACCEPTEE,,250000,6
DEC-000100,DEM-000100,INS-001,2023-07-24,ACCEPTEE,,105000,9
DEC-000101,DEM-000101,INS-001,2025-04-10,ACCEPTEE,,50000,9
DEC-000102,DEM-000102,INS-001,2022-08-05,ACCEPTEE,,250000,6
DEC-000103,DEM-000103,INS-001,2024-02-24,ACCEPTEE,,250000,9
DEC-000104,DEM-000104,INS-001,2022-09-08,ACCEPTEE,,390000,9
DEC-000105,DEM-000105,INS-001,2022-07-07,ACCEPTEE,,40000,6
DEC-000106,DEM-000106,INS-001,2024-09-15,ACCEPTEE,,200000,9
DEC-000107,DEM-000107,INS-001,2022-12-17,ACCEPTEE,,1500000,12
DEC-000108,DEM-000108,INS-001,2024-03-18,ACCEPTEE,,250000,6
DEC-000109,DEM-000109,INS-001,2022-09-12,ACCEPTEE,,250000,9
DEC-000110,DEM-000110,INS-001,2023-07-12,ACCEPTEE,,250000,9
DEC-000111,DEM-000111,INS-001,2025-09-30,ACCEPTEE,,1500000,12
DEC-000112,DEM-000112,INS-001,2021-11-19,ACCEPTEE,,180000,3
DEC-000113,DEM-000113,INS-001,2023-04-19,ACCEPTEE,,435000,9
DEC-000114,DEM-000114,INS-001,2025-03-14,ACCEPTEE,,50000,6
DEC-000115,DEM-000115,INS-001,2021-03-13,ACCEPTEE,,900000,12
DEC-000116,DEM-000116,INS-001,2024-07-10,ACCEPTEE,,790000,6
DEC-000117,DEM-000117,INS-001,2021-07-02,ACCEPTEE,,405000,12
DEC-000118,DEM-000118,INS-001,2023-06-06,ACCEPTEE,,250000,9
DEC-000119,DEM-000119,INS-001,2024-04-03,ACCEPTEE,,280000,9
DEC-000120,DEM-000120,INS-001,2021-09-05,ACCEPTEE,,370000,12
DEC-000121,DEM-000121,INS-001,2022-11-26,ACCEPTEE,,250000,6
DEC-000122,DEM-000122,INS-001,2024-09-23,ACCEPTEE,,900000,9
DEC-000123,DEM-000123,INS-001,2023-11-07,ACCEPTEE,,600000,12
DEC-000124,DEM-000124,INS-001,2025-07-28,ACCEPTEE,,140000,6
DEC-000125,DEM-000125,INS-001,2021-12-15,ACCEPTEE,,230000,3
DEC-000126,DEM-000126,INS-001,2023-01-02,REFUSEE,capacite_insuffisante,,
DEC-000127,DEM-000127,INS-001,2024-02-01,ACCEPTEE,,250000,9
DEC-000128,DEM-000128,INS-001,2021-03-08,ACCEPTEE,,590000,12
DEC-000129,DEM-000129,INS-001,2022-07-21,REFUSEE,capacite_insuffisante,,
DEC-000130,DEM-000130,INS-001,2023-02-18,REFUSEE,capacite_insuffisante,,
DEC-000131,DEM-000131,INS-001,2023-07-22,ACCEPTEE,,75000,3
DEC-000132,DEM-000132,INS-001,2024-05-21,ACCEPTEE,,215000,3
DEC-000133,DEM-000133,INS-001,2021-03-24,ACCEPTEE,,200000,9
DEC-000134,DEM-000134,INS-001,2023-08-24,ACCEPTEE,,175000,18
DEC-000135,DEM-000135,INS-001,2025-11-29,ACCEPTEE,,50000,9
DEC-000136,DEM-000136,INS-001,2023-02-24,ACCEPTEE,,500000,9
DEC-000137,DEM-000137,INS-001,2024-09-15,ACCEPTEE,,250000,9
DEC-000138,DEM-000138,INS-001,2025-06-23,ACCEPTEE,,780000,12
DEC-000139,DEM-000139,INS-001,2021-07-18,REFUSEE,endettement_eleve,,
DEC-000140,DEM-000140,INS-001,2023-01-16,ACCEPTEE,,195000,9
DEC-000141,DEM-000141,INS-001,2021-03-17,ACCEPTEE,,250000,6
DEC-000142,DEM-000142,INS-001,2023-03-21,ACCEPTEE,,250000,9
DEC-000143,DEM-000143,INS-001,2024-08-18,ACCEPTEE,,600000,9
DEC-000144,DEM-000144,INS-001,2022-10-07,ACCEPTEE,,475000,9
DEC-000145,DEM-000145,INS-001,2022-03-28,ACCEPTEE,,220000,9
DEC-000146,DEM-000146,INS-001,2025-06-10,ACCEPTEE,,550000,6
DEC-000147,DEM-000147,INS-001,2022-02-21,ACCEPTEE,,250000,9
DEC-000148,DEM-000148,INS-001,2023-01-13,ACCEPTEE,,725000,12
DEC-000149,DEM-000149,INS-001,2025-01-17,REFUSEE,capacite_insuffisante,,
DEC-000150,DEM-000150,INS-001,2022-01-20,ACCEPTEE,,600000,6
DEC-000151,DEM-000151,INS-001,2025-03-04,ACCEPTEE,,1500000,18
DEC-000152,DEM-000152,INS-001,2022-01-14,ACCEPTEE,,410000,12
DEC-000153,DEM-000153,INS-001,2023-03-29,ACCEPTEE,,330000,12
DEC-000154,DEM-000154,INS-001,2025-01-20,ACCEPTEE,,500000,12
DEC-000155,DEM-000155,INS-001,2022-10-29,ACCEPTEE,,250000,9
DEC-000156,DEM-000156,INS-001,2023-08-11,ACCEPTEE,,485000,9
DEC-000157,DEM-000157,INS-001,2021-07-28,ACCEPTEE,,715000,12
DEC-000158,DEM-000158,INS-001,2022-07-19,ACCEPTEE,,455000,6
DEC-000159,DEM-000159,INS-001,2021-12-06,ACCEPTEE,,600000,12
DEC-000160,DEM-000160,INS-001,2021-04-26,ACCEPTEE,,250000,9
DEC-000161,DEM-000161,INS-001,2024-01-28,ACCEPTEE,,340000,3
DEC-000162,DEM-000162,INS-001,2024-04-26,ACCEPTEE,,600000,6
DEC-000163,DEM-000163,INS-001,2025-04-18,ACCEPTEE,,250000,6
DEC-000164,DEM-000164,INS-001,2024-10-10,ACCEPTEE,,260000,3
DEC-000165,DEM-000165,INS-001,2021-06-28,ACCEPTEE,,235000,9
DEC-000166,DEM-000166,INS-001,2023-11-23,ACCEPTEE,,290000,12
DEC-000167,DEM-000167,INS-001,2025-02-15,ACCEPTEE,,50000,6
DEC-000168,DEM-000168,INS-001,2021-08-18,ACCEPTEE,,415000,12
DEC-000169,DEM-000169,INS-001,2022-01-18,ACCEPTEE,,320000,9
DEC-000170,DEM-000170,INS-001,2025-01-21,ACCEPTEE,,65000,12
DEC-000171,DEM-000171,INS-001,2021-01-28,ACCEPTEE,,160000,9
DEC-000172,DEM-000172,INS-001,2022-08-13,ACCEPTEE,,195000,6
DEC-000173,DEM-000173,INS-001,2023-03-30,ACCEPTEE,,510000,18
DEC-000174,DEM-000174,INS-001,2021-11-23,ACCEPTEE,,160000,6
DEC-000175,DEM-000175,INS-001,2024-01-23,ACCEPTEE,,220000,9
DEC-000176,DEM-000176,INS-001,2022-02-04,ACCEPTEE,,600000,12
DEC-000177,DEM-000177,INS-001,2021-07-10,ACCEPTEE,,250000,9
DEC-000178,DEM-000178,INS-001,2022-04-16,ACCEPTEE,,160000,9
DEC-000179,DEM-000179,INS-001,2022-08-12,REFUSEE,dossier_incomplet,,
DEC-000180,DEM-000180,INS-001,2023-05-31,ACCEPTEE,,330000,6
DEC-000181,DEM-000181,INS-001,2023-02-18,ACCEPTEE,,420000,12
DEC-000182,DEM-000182,INS-001,2024-12-18,ACCEPTEE,,500000,6
DEC-000183,DEM-000183,INS-001,2025-01-29,REFUSEE,endettement_eleve,,
DEC-000184,DEM-000184,INS-001,2021-11-01,ACCEPTEE,,360000,12
DEC-000185,DEM-000185,INS-001,2023-06-04,ACCEPTEE,,480000,12
DEC-000186,DEM-000186,INS-001,2023-11-10,ACCEPTEE,,270000,15
DEC-000187,DEM-000187,INS-001,2024-12-12,ACCEPTEE,,250000,9
DEC-000188,DEM-000188,INS-001,2022-05-11,ACCEPTEE,,100000,12
DEC-000189,DEM-000189,INS-001,2024-06-01,REFUSEE,capacite_insuffisante,,
DEC-000190,DEM-000190,INS-001,2024-11-02,ACCEPTEE,,95000,9
DEC-000191,DEM-000191,INS-001,2025-08-01,REFUSEE,capacite_insuffisante,,
DEC-000192,DEM-000192,INS-001,2025-08-03,REFUSEE,capacite_insuffisante,,
DEC-000193,DEM-000193,INS-001,2025-10-22,REFUSEE,endettement_eleve,,
DEC-000194,DEM-000194,INS-001,2021-12-22,ACCEPTEE,,385000,12
DEC-000195,DEM-000195,INS-001,2021-11-26,ACCEPTEE,,75000,3
DEC-000196,DEM-000196,INS-001,2024-01-15,ACCEPTEE,,300000,12
DEC-000197,DEM-000197,INS-001,2021-12-16,ACCEPTEE,,250000,6
DEC-000198,DEM-000198,INS-001,2022-07-17,ACCEPTEE,,205000,9
DEC-000199,DEM-000199,INS-001,2024-02-19,ACCEPTEE,,250000,3
DEC-000200,DEM-000200,INS-001,2024-10-07,ACCEPTEE,,250000,9
DEC-000201,DEM-000201,INS-001,2025-05-01,ACCEPTEE,,185000,9
DEC-000202,DEM-000202,INS-001,2025-07-01,ACCEPTEE,,135000,9
DEC-000203,DEM-000203,INS-001,2021-03-10,ACCEPTEE,,385000,12
DEC-000204,DEM-000204,INS-001,2024-09-23,ACCEPTEE,,900000,9
DEC-000205,DEM-000205,INS-001,2021-08-15,ACCEPTEE,,250000,6
DEC-000206,DEM-000206,INS-001,2023-05-08,ACCEPTEE,,600000,3
DEC-000207,DEM-000207,INS-001,2021-04-01,ACCEPTEE,,385000,9
DEC-000208,DEM-000208,INS-001,2022-02-28,ACCEPTEE,,600000,6
DEC-000209,DEM-000209,INS-001,2023-05-21,ACCEPTEE,,1500000,12
DEC-000210,DEM-000210,INS-001,2024-11-27,ACCEPTEE,,600000,6
DEC-000211,DEM-000211,INS-001,2025-05-30,ACCEPTEE,,50000,6
DEC-000212,DEM-000212,INS-001,2022-02-11,ACCEPTEE,,250000,6
DEC-000213,DEM-000213,INS-001,2025-05-30,ACCEPTEE,,1500000,12
DEC-000214,DEM-000214,INS-001,2021-11-20,ACCEPTEE,,900000,6
DEC-000215,DEM-000215,INS-001,2022-09-30,ACCEPTEE,,600000,12
DEC-000216,DEM-000216,INS-001,2021-12-05,ACCEPTEE,,235000,6
DEC-000217,DEM-000217,INS-001,2025-08-28,ACCEPTEE,,435000,9
DEC-000218,DEM-000218,INS-001,2021-03-29,ACCEPTEE,,250000,9
DEC-000219,DEM-000219,INS-001,2023-03-16,ACCEPTEE,,930000,18
DEC-000220,DEM-000220,INS-001,2021-01-16,ACCEPTEE,,200000,9
DEC-000221,DEM-000221,INS-001,2023-06-28,ACCEPTEE,,350000,15
DEC-000222,DEM-000222,INS-001,2024-10-06,ACCEPTEE,,155000,6
DEC-000223,DEM-000223,INS-001,2023-05-29,ACCEPTEE,,420000,6
DEC-000224,DEM-000224,INS-001,2021-04-21,ACCEPTEE,,200000,6
DEC-000225,DEM-000225,INS-001,2023-03-04,ACCEPTEE,,250000,6
DEC-000226,DEM-000226,INS-001,2022-05-30,ACCEPTEE,,900000,12
DEC-000227,DEM-000227,INS-001,2024-04-08,ACCEPTEE,,250000,6
DEC-000228,DEM-000228,INS-001,2021-06-22,ACCEPTEE,,100000,12
DEC-000229,DEM-000229,INS-001,2025-06-15,ACCEPTEE,,175000,12
DEC-000230,DEM-000230,INS-001,2021-07-31,ACCEPTEE,,145000,9
DEC-000231,DEM-000231,INS-001,2022-10-20,ACCEPTEE,,570000,6
DEC-000232,DEM-000232,INS-001,2024-10-19,ACCEPTEE,,505000,6
DEC-000233,DEM-000233,INS-001,2021-08-25,ACCEPTEE,,100000,6
DEC-000234,DEM-000234,INS-001,2022-06-21,ACCEPTEE,,100000,6
DEC-000235,DEM-000235,INS-001,2022-04-14,ACCEPTEE,,600000,9
DEC-000236,DEM-000236,INS-001,2023-10-31,ACCEPTEE,,750000,12
DEC-000237,DEM-000237,INS-001,2024-10-18,REFUSEE,historique_incidents,,
DEC-000238,DEM-000238,INS-001,2021-06-29,ACCEPTEE,,250000,9
DEC-000239,DEM-000239,INS-001,2021-06-30,ACCEPTEE,,195000,9
DEC-000240,DEM-000240,INS-001,2023-06-09,ACCEPTEE,,260000,9
DEC-000241,DEM-000241,INS-001,2025-02-14,ACCEPTEE,,360000,12
DEC-000242,DEM-000242,INS-001,2025-01-17,AJOURNEE,dossier_incomplet,,
DEC-000243,DEM-000243,INS-001,2023-03-27,ACCEPTEE,,345000,12
DEC-000244,DEM-000244,INS-001,2023-08-23,ACCEPTEE,,600000,12
DEC-000245,DEM-000245,INS-001,2022-10-22,ACCEPTEE,,710000,12
DEC-000246,DEM-000246,INS-001,2024-06-20,ACCEPTEE,,130000,12
DEC-000247,DEM-000247,INS-001,2021-06-09,ACCEPTEE,,270000,6
DEC-000248,DEM-000248,INS-001,2024-01-01,ACCEPTEE,,510000,9
DEC-000249,DEM-000249,INS-001,2025-05-22,REFUSEE,historique_incidents,,
DEC-000250,DEM-000250,INS-001,2023-12-15,ACCEPTEE,,530000,12
DEC-000251,DEM-000251,INS-001,2021-08-02,ACCEPTEE,,450000,9
DEC-000252,DEM-000252,INS-001,2022-03-19,REFUSEE,capacite_insuffisante,,
DEC-000253,DEM-000253,INS-001,2021-05-31,REFUSEE,endettement_eleve,,
DEC-000254,DEM-000254,INS-001,2022-09-17,REFUSEE,endettement_eleve,,
DEC-000255,DEM-000255,INS-001,2021-07-20,REFUSEE,endettement_eleve,,
DEC-000256,DEM-000256,INS-001,2023-01-31,REFUSEE,endettement_eleve,,
DEC-000257,DEM-000257,INS-001,2024-06-04,REFUSEE,endettement_eleve,,
DEC-000258,DEM-000258,INS-001,2025-09-20,REFUSEE,endettement_eleve,,
DEC-000259,DEM-000259,INS-001,2022-10-25,ACCEPTEE,,95000,3
DEC-000260,DEM-000260,INS-001,2021-04-05,ACCEPTEE,,250000,9
DEC-000261,DEM-000261,INS-001,2023-04-01,REFUSEE,historique_incidents,,
DEC-000262,DEM-000262,INS-001,2021-05-07,ACCEPTEE,,60000,3
DEC-000263,DEM-000263,INS-001,2024-03-07,REFUSEE,capacite_insuffisante,,
DEC-000264,DEM-000264,INS-001,2025-03-21,REFUSEE,capacite_insuffisante,,
DEC-000265,DEM-000265,INS-001,2025-09-12,ACCEPTEE,,160000,9
DEC-000266,DEM-000266,INS-001,2021-05-04,ACCEPTEE,,600000,12
DEC-000267,DEM-000267,INS-001,2023-09-11,REFUSEE,capacite_insuffisante,,
DEC-000268,DEM-000268,INS-001,2024-04-08,REFUSEE,capacite_insuffisante,,
DEC-000269,DEM-000269,INS-001,2021-02-02,ACCEPTEE,,470000,12
DEC-000270,DEM-000270,INS-001,2022-11-18,ACCEPTEE,,245000,6
