identifiant_paiement,identifiant_credit,identifiant_echeance,identifiant_institution,date_paiement,montant_paye,canal_paiement
PAI-0000001,CRD-000001,ECH-0000001,INS-001,2023-02-13,30416,agence
PAI-0000002,CRD-000001,ECH-0000002,INS-001,2023-03-08,30416,agence
PAI-0000003,CRD-000001,ECH-0000003,INS-001,2023-04-06,30416,collecteur
PAI-0000004,CRD-000001,ECH-0000004,INS-001,2023-05-12,30416,agence
PAI-0000005,CRD-000001,ECH-0000005,INS-001,2023-06-06,30416,agence
PAI-0000006,CRD-000001,ECH-0000006,INS-001,2023-07-06,30416,mobile_money
PAI-0000007,CRD-000001,ECH-0000007,INS-001,2023-08-13,30416,collecteur
PAI-0000008,CRD-000001,ECH-0000008,INS-001,2023-09-12,30416,collecteur
PAI-0000009,CRD-000001,ECH-0000009,INS-001,2023-10-07,30416,agence
PAI-0000010,CRD-000001,ECH-0000010,INS-001,2023-11-12,30416,collecteur
PAI-0000011,CRD-000001,ECH-0000011,INS-001,2023-12-13,30416,agence
PAI-0000012,CRD-000001,ECH-0000012,INS-001,2024-01-11,30424,agence
PAI-0000013,CRD-000002,ECH-0000013,INS-001,2023-08-30,22500,mobile_money
PAI-0000014,CRD-000002,ECH-0000014,INS-001,2023-10-10,22500,mobile_money
PAI-0000015,CRD-000002,ECH-0000015,INS-001,2023-11-01,22500,collecteur
PAI-0000016,CRD-000002,ECH-0000016,INS-001,2023-12-01,22500,mobile_money
PAI-0000017,CRD-000002,ECH-0000017,INS-001,2024-01-03,22500,collecteur
PAI-0000018,CRD-000002,ECH-0000018,INS-001,2024-02-03,22500,agence
PAI-0000019,CRD-000003,ECH-0000019,INS-001,2024-06-06,13166,mobile_money
PAI-0000020,CRD-000003,ECH-0000019,INS-001,2024-08-02,20416,agence
PAI-0000021,CRD-000003,ECH-0000020,INS-001,2024-08-31,20416,mobile_money
PAI-0000022,CRD-000003,ECH-0000021,INS-001,2024-09-30,20416,agence
PAI-0000023,CRD-000003,ECH-0000022,INS-001,2024-11-07,20416,mobile_money
PAI-0000024,CRD-000003,ECH-0000023,INS-001,2024-11-30,20416,mobile_money
PAI-0000025,CRD-000003,ECH-0000024,INS-001,2025-01-05,20416,agence
PAI-0000026,CRD-000003,ECH-0000025,INS-001,2025-02-20,20416,mobile_money
PAI-0000027,CRD-000003,ECH-0000026,INS-001,2025-03-31,20416,mobile_money
PAI-0000028,CRD-000003,ECH-0000027,INS-001,2025-05-02,20424,mobile_money
PAI-0000029,CRD-000004,ECH-0000031,INS-001,2022-11-29,41666,agence
PAI-0000030,CRD-000004,ECH-0000032,INS-001,2023-01-02,41666,mobile_money
PAI-0000031,CRD-000004,ECH-0000033,INS-001,2023-02-04,41666,agence
PAI-0000032,CRD-000004,ECH-0000034,INS-001,2023-02-26,41666,mobile_money
PAI-0000033,CRD-000004,ECH-0000035,INS-001,2023-04-04,41666,agence
PAI-0000034,CRD-000004,ECH-0000036,INS-001,2023-05-04,41670,agence
PAI-0000035,CRD-000005,ECH-0000037,INS-001,2025-01-02,40833,agence
PAI-0000036,CRD-000005,ECH-0000038,INS-001,2025-02-02,40833,collecteur
PAI-0000037,CRD-000005,ECH-0000039,INS-001,2025-03-04,40833,collecteur
PAI-0000038,CRD-000005,ECH-0000040,INS-001,2025-04-05,40833,mobile_money
PAI-0000039,CRD-000005,ECH-0000041,INS-001,2025-05-05,40833,collecteur
PAI-0000040,CRD-000005,ECH-0000042,INS-001,2025-05-31,40833,mobile_money
PAI-0000041,CRD-000005,ECH-0000043,INS-001,2025-07-05,40833,collecteur
PAI-0000042,CRD-000005,ECH-0000044,INS-001,2025-08-05,40833,mobile_money
PAI-0000043,CRD-000005,ECH-0000045,INS-001,2025-08-30,40833,collecteur
PAI-0000044,CRD-000005,ECH-0000046,INS-001,2025-10-05,40833,agence
PAI-0000045,CRD-000005,ECH-0000047,INS-001,2025-11-03,40833,mobile_money
PAI-0000046,CRD-000005,ECH-0000048,INS-001,2025-12-04,40837,agence
PAI-0000047,CRD-000006,ECH-0000049,INS-001,2024-08-19,100000,mobile_money
PAI-0000048,CRD-000006,ECH-0000050,INS-001,2024-09-22,100000,agence
PAI-0000049,CRD-000006,ECH-0000051,INS-001,2024-10-20,100000,mobile_money
PAI-0000050,CRD-000006,ECH-0000052,INS-001,2024-11-15,100000,agence
PAI-0000051,CRD-000006,ECH-0000053,INS-001,2024-12-16,100000,agence
PAI-0000052,CRD-000006,ECH-0000054,INS-001,2025-01-16,100000,mobile_money
PAI-0000053,CRD-000006,ECH-0000055,INS-001,2025-02-16,100000,agence
PAI-0000054,CRD-000006,ECH-0000056,INS-001,2025-03-29,100000,mobile_money
PAI-0000055,CRD-000006,ECH-0000057,INS-001,2025-04-15,100000,collecteur
PAI-0000056,CRD-000007,ECH-0000058,INS-001,2025-12-07,52777,agence
PAI-0000057,CRD-000008,ECH-0000067,INS-001,2024-03-29,10833,agence
PAI-0000058,CRD-000008,ECH-0000068,INS-001,2024-04-28,10833,collecteur
PAI-0000059,CRD-000008,ECH-0000069,INS-001,2024-06-29,10833,agence
PAI-0000060,CRD-000008,ECH-0000070,INS-001,2024-08-01,10833,mobile_money
PAI-0000061,CRD-000008,ECH-0000071,INS-001,2024-08-18,10833,mobile_money
PAI-0000062,CRD-000008,ECH-0000072,INS-001,2024-08-31,10833,agence
PAI-0000063,CRD-000008,ECH-0000073,INS-001,2024-09-30,10833,agence
PAI-0000064,CRD-000008,ECH-0000074,INS-001,2024-10-26,10833,agence
PAI-0000065,CRD-000008,ECH-0000075,INS-001,2024-11-29,10833,collecteur
PAI-0000066,CRD-000008,ECH-0000076,INS-001,2024-12-31,10833,collecteur
PAI-0000067,CRD-000008,ECH-0000077,INS-001,2025-01-30,10833,mobile_money
PAI-0000068,CRD-000008,ECH-0000078,INS-001,2025-02-28,10837,mobile_money
PAI-0000069,CRD-000009,ECH-0000079,INS-001,2023-11-12,48750,agence
PAI-0000070,CRD-000009,ECH-0000080,INS-001,2023-12-16,48750,agence
PAI-0000071,CRD-000009,ECH-0000081,INS-001,2024-01-13,48750,agence
PAI-0000072,CRD-000009,ECH-0000082,INS-001,2024-03-11,48750,collecteur
PAI-0000073,CRD-000009,ECH-0000083,INS-001,2024-03-30,48750,agence
PAI-0000074,CRD-000009,ECH-0000084,INS-001,2024-04-30,48750,mobile_money
PAI-0000075,CRD-000009,ECH-0000085,INS-001,2024-06-18,48750,collecteur
PAI-0000076,CRD-000009,ECH-0000086,INS-001,2024-06-28,48750,agence
PAI-0000077,CRD-000009,ECH-0000087,INS-001,2024-08-12,48750,mobile_money
PAI-0000078,CRD-000009,ECH-0000088,INS-001,2024-10-03,48750,agence
PAI-0000079,CRD-000009,ECH-0000089,INS-001,2024-10-17,48750,mobile_money
PAI-0000080,CRD-000010,ECH-0000091,INS-001,2023-04-29,20555,agence
PAI-0000081,CRD-000010,ECH-0000092,INS-001,2023-05-22,20555,mobile_money
PAI-0000082,CRD-000010,ECH-0000093,INS-001,2023-06-29,20555,agence
PAI-0000083,CRD-000010,ECH-0000094,INS-001,2023-07-29,20555,agence
PAI-0000084,CRD-000010,ECH-0000095,INS-001,2023-08-27,20555,collecteur
PAI-0000085,CRD-000010,ECH-0000096,INS-001,2023-09-28,20555,mobile_money
PAI-0000086,CRD-000010,ECH-0000097,INS-001,2023-10-29,20555,agence
PAI-0000087,CRD-000010,ECH-0000098,INS-001,2023-11-28,20555,agence
PAI-0000088,CRD-000010,ECH-0000099,INS-001,2023-12-26,20560,mobile_money
PAI-0000089,CRD-000011,ECH-0000100,INS-001,2024-02-02,200000,mobile_money
PAI-0000090,CRD-000011,ECH-0000101,INS-001,2024-02-28,200000,agence
PAI-0000091,CRD-000011,ECH-0000102,INS-001,2024-04-01,200000,agence
PAI-0000092,CRD-000012,ECH-0000103,INS-001,2024-09-19,85000,collecteur
PAI-0000093,CRD-000012,ECH-0000104,INS-001,2024-10-15,85000,agence
PAI-0000094,CRD-000012,ECH-0000105,INS-001,2024-11-14,85000,mobile_money
PAI-0000095,CRD-000012,ECH-0000106,INS-001,2024-12-19,85000,agence
PAI-0000096,CRD-000012,ECH-0000107,INS-001,2025-01-13,85000,collecteur
PAI-0000097,CRD-000012,ECH-0000108,INS-001,2025-02-14,85000,collecteur
PAI-0000098,CRD-000013,ECH-0000109,INS-001,2024-04-21,68333,agence
PAI-0000099,CRD-000013,ECH-0000110,INS-001,2024-05-20,68333,agence
PAI-0000100,CRD-000013,ECH-0000111,INS-001,2024-06-18,68334,collecteur
PAI-0000101,CRD-000014,ECH-0000112,INS-001,2023-05-18,75000,agence
PAI-0000102,CRD-000014,ECH-0000113,INS-001,2023-06-16,75000,agence
PAI-0000103,CRD-000014,ECH-0000114,INS-001,2023-07-18,75000,collecteur
PAI-0000104,CRD-000014,ECH-0000115,INS-001,2023-08-17,75000,mobile_money
PAI-0000105,CRD-000014,ECH-0000116,INS-001,2023-09-17,75000,agence
PAI-0000106,CRD-000014,ECH-0000117,INS-001,2023-10-21,75000,collecteur
PAI-0000107,CRD-000014,ECH-0000118,INS-001,2023-11-23,75000,mobile_money
PAI-0000108,CRD-000014,ECH-0000119,INS-001,2023-12-17,75000,agence
PAI-0000109,CRD-000014,ECH-0000120,INS-001,2024-01-16,75000,agence
PAI-0000110,CRD-000014,ECH-0000121,INS-001,2024-02-21,75000,mobile_money
PAI-0000111,CRD-000014,ECH-0000122,INS-001,2024-03-20,75000,agence
PAI-0000112,CRD-000014,ECH-0000123,INS-001,2024-04-17,75000,agence
PAI-0000113,CRD-000015,ECH-0000124,INS-001,2024-12-24,75000,agence
PAI-0000114,CRD-000015,ECH-0000125,INS-001,2025-01-28,75000,agence
PAI-0000115,CRD-000015,ECH-0000126,INS-001,2025-03-02,75000,mobile_money
PAI-0000116,CRD-000015,ECH-0000127,INS-001,2025-03-27,75000,agence
PAI-0000117,CRD-000015,ECH-0000128,INS-001,2025-04-26,75000,mobile_money
PAI-0000118,CRD-000015,ECH-0000129,INS-001,2025-05-24,75000,agence
PAI-0000119,CRD-000015,ECH-0000130,INS-001,2025-06-28,75000,mobile_money
PAI-0000120,CRD-000015,ECH-0000131,INS-001,2025-07-30,75000,mobile_money
PAI-0000121,CRD-000015,ECH-0000132,INS-001,2025-08-24,75000,mobile_money
PAI-0000122,CRD-000015,ECH-0000133,INS-001,2025-10-10,75000,mobile_money
PAI-0000123,CRD-000015,ECH-0000134,INS-001,2025-11-25,75000,mobile_money
PAI-0000124,CRD-000016,ECH-0000136,INS-001,2023-05-28,27777,mobile_money
PAI-0000125,CRD-000016,ECH-0000137,INS-001,2023-06-29,27777,agence
PAI-0000126,CRD-000016,ECH-0000138,INS-001,2023-07-25,27777,agence
PAI-0000127,CRD-000016,ECH-0000139,INS-001,2023-08-24,27777,mobile_money
PAI-0000128,CRD-000016,ECH-0000140,INS-001,2023-10-01,27777,agence
PAI-0000129,CRD-000016,ECH-0000141,INS-001,2023-10-26,27777,collecteur
PAI-0000130,CRD-000016,ECH-0000142,INS-001,2023-11-24,27777,agence
PAI-0000131,CRD-000016,ECH-0000143,INS-001,2023-12-25,27777,agence
PAI-0000132,CRD-000016,ECH-0000144,INS-001,2024-01-31,27784,mobile_money
PAI-0000133,CRD-000017,ECH-0000145,INS-001,2023-03-03,41666,agence
PAI-0000134,CRD-000017,ECH-0000146,INS-001,2023-04-08,41666,agence
PAI-0000135,CRD-000017,ECH-0000147,INS-001,2023-05-06,41666,mobile_money
PAI-0000136,CRD-000017,ECH-0000148,INS-001,2023-06-06,41666,collecteur
PAI-0000137,CRD-000017,ECH-0000149,INS-001,2023-07-10,41666,agence
PAI-0000138,CRD-000017,ECH-0000150,INS-001,2023-08-08,41670,mobile_money
PAI-0000139,CRD-000018,ECH-0000151,INS-001,2023-10-09,50000,collecteur
PAI-0000140,CRD-000018,ECH-0000152,INS-001,2023-11-08,50000,agence
PAI-0000141,CRD-000018,ECH-0000153,INS-001,2023-12-07,50000,collecteur
PAI-0000142,CRD-000018,ECH-0000154,INS-001,2024-01-04,50000,agence
PAI-0000143,CRD-000018,ECH-0000155,INS-001,2024-02-05,50000,mobile_money
PAI-0000144,CRD-000018,ECH-0000156,INS-001,2024-03-08,50000,agence
PAI-0000145,CRD-000018,ECH-0000157,INS-001,2024-04-05,50000,agence
PAI-0000146,CRD-000018,ECH-0000158,INS-001,2024-06-09,50000,mobile_money
PAI-0000147,CRD-000018,ECH-0000159,INS-001,2024-07-09,50000,mobile_money
PAI-0000148,CRD-000018,ECH-0000160,INS-001,2024-08-08,50000,mobile_money
PAI-0000149,CRD-000018,ECH-0000161,INS-001,2024-09-06,50000,mobile_money
PAI-0000150,CRD-000019,ECH-0000163,INS-001,2023-08-15,83333,agence
PAI-0000151,CRD-000019,ECH-0000164,INS-001,2023-11-12,83333,mobile_money
PAI-0000152,CRD-000019,ECH-0000165,INS-001,2023-11-15,83333,agence
PAI-0000153,CRD-000019,ECH-0000166,INS-001,2023-12-19,83333,agence
PAI-0000154,CRD-000019,ECH-0000167,INS-001,2023-12-20,83333,agence
PAI-0000155,CRD-000019,ECH-0000168,INS-001,2024-01-15,83333,agence
PAI-0000156,CRD-000019,ECH-0000169,INS-001,2024-02-21,83333,agence
PAI-0000157,CRD-000019,ECH-0000170,INS-001,2024-03-23,63296,agence
PAI-0000158,CRD-000019,ECH-0000170,INS-001,2024-04-17,83333,agence
PAI-0000159,CRD-000019,,INS-001,2024-05-21,20037,agence
PAI-0000160,CRD-000019,ECH-0000172,INS-001,2024-05-29,83333,collecteur
PAI-0000161,CRD-000019,ECH-0000173,INS-001,2024-06-20,83333,agence
PAI-0000162,CRD-000019,ECH-0000174,INS-001,2024-07-16,83333,mobile_money
PAI-0000163,CRD-000019,ECH-0000175,INS-001,2024-08-17,83333,agence
PAI-0000164,CRD-000019,ECH-0000176,INS-001,2024-09-16,83333,mobile_money
PAI-0000165,CRD-000019,ECH-0000177,INS-001,2024-11-05,83333,mobile_money
PAI-0000166,CRD-000019,ECH-0000178,INS-001,2024-11-18,83333,collecteur
PAI-0000167,CRD-000019,ECH-0000179,INS-001,2024-12-22,83333,mobile_money
PAI-0000168,CRD-000019,ECH-0000180,INS-001,2025-01-21,83339,agence
PAI-0000169,CRD-000020,ECH-0000181,INS-001,2025-07-09,20833,mobile_money
PAI-0000170,CRD-000020,ECH-0000182,INS-001,2025-08-07,20833,collecteur
PAI-0000171,CRD-000020,ECH-0000183,INS-001,2025-09-06,20833,agence
PAI-0000172,CRD-000020,ECH-0000184,INS-001,2025-10-06,20833,collecteur
PAI-0000173,CRD-000020,ECH-0000185,INS-001,2025-11-09,20833,agence
PAI-0000174,CRD-000020,ECH-0000186,INS-001,2025-12-07,20835,agence
PAI-0000175,CRD-000021,ECH-0000187,INS-001,2023-08-10,40000,mobile_money
PAI-0000176,CRD-000021,ECH-0000188,INS-001,2023-09-05,40000,agence
PAI-0000177,CRD-000021,ECH-0000189,INS-001,2023-10-08,40000,mobile_money
PAI-0000178,CRD-000021,ECH-0000190,INS-001,2023-11-08,40000,agence
PAI-0000179,CRD-000021,ECH-0000191,INS-001,2023-12-08,40000,agence
PAI-0000180,CRD-000021,ECH-0000192,INS-001,2024-01-08,40000,agence
PAI-0000181,CRD-000021,ECH-0000193,INS-001,2024-02-05,40000,mobile_money
PAI-0000182,CRD-000021,ECH-0000194,INS-001,2024-03-08,40000,collecteur
PAI-0000183,CRD-000021,ECH-0000195,INS-001,2024-04-12,40000,mobile_money
PAI-0000184,CRD-000021,ECH-0000196,INS-001,2024-05-08,40000,agence
PAI-0000185,CRD-000021,ECH-0000197,INS-001,2024-06-07,40000,mobile_money
PAI-0000186,CRD-000021,ECH-0000198,INS-001,2024-07-07,40000,agence
PAI-0000187,CRD-000022,ECH-0000199,INS-001,2024-08-23,52916,mobile_money
PAI-0000188,CRD-000022,ECH-0000200,INS-001,2024-09-25,52916,mobile_money
PAI-0000189,CRD-000022,ECH-0000201,INS-001,2024-10-27,52916,mobile_money
PAI-0000190,CRD-000022,ECH-0000202,INS-001,2024-11-26,52916,agence
PAI-0000191,CRD-000022,ECH-0000203,INS-001,2024-12-27,52916,agence
PAI-0000192,CRD-000022,ECH-0000204,INS-001,2025-01-21,52916,agence
PAI-0000193,CRD-000022,ECH-0000205,INS-001,2025-02-26,52916,mobile_money
PAI-0000194,CRD-000022,ECH-0000206,INS-001,2025-03-20,52916,mobile_money
PAI-0000195,CRD-000022,ECH-0000207,INS-001,2025-04-21,52916,agence
PAI-0000196,CRD-000022,ECH-0000208,INS-001,2025-05-24,52916,mobile_money
PAI-0000197,CRD-000022,ECH-0000209,INS-001,2025-06-23,52916,collecteur
PAI-0000198,CRD-000022,ECH-0000210,INS-001,2025-07-27,52924,mobile_money
PAI-0000199,CRD-000023,ECH-0000211,INS-001,2025-12-19,26666,collecteur
PAI-0000200,CRD-000024,ECH-0000223,INS-001,2023-09-03,66666,agence
PAI-0000201,CRD-000024,ECH-0000224,INS-001,2023-10-05,66666,mobile_money
PAI-0000202,CRD-000024,ECH-0000225,INS-001,2023-10-30,66666,agence
PAI-0000203,CRD-000024,ECH-0000226,INS-001,2023-11-30,66666,agence
PAI-0000204,CRD-000024,ECH-0000227,INS-001,2024-01-04,66666,mobile_money
PAI-0000205,CRD-000024,ECH-0000228,INS-001,2024-02-05,66666,agence
PAI-0000206,CRD-000024,ECH-0000229,INS-001,2024-02-29,66666,agence
PAI-0000207,CRD-000024,ECH-0000230,INS-001,2024-03-31,66666,mobile_money
PAI-0000208,CRD-000024,ECH-0000231,INS-001,2024-05-06,66672,mobile_money
PAI-0000209,CRD-000025,ECH-0000232,INS-001,2025-05-12,19444,mobile_money
PAI-0000210,CRD-000025,ECH-0000233,INS-001,2025-06-17,19444,mobile_money
PAI-0000211,CRD-000025,ECH-0000234,INS-001,2025-07-13,19444,agence
PAI-0000212,CRD-000025,ECH-0000235,INS-001,2025-08-17,19444,collecteur
PAI-0000213,CRD-000025,ECH-0000236,INS-001,2025-09-17,19444,mobile_money
PAI-0000214,CRD-000025,ECH-0000237,INS-001,2025-10-11,19444,mobile_money
PAI-0000215,CRD-000025,ECH-0000238,INS-001,2025-11-12,19444,mobile_money
PAI-0000216,CRD-000025,ECH-0000239,INS-001,2025-12-13,19444,collecteur
PAI-0000217,CRD-000026,ECH-0000241,INS-001,2023-05-30,13888,agence
PAI-0000218,CRD-000026,ECH-0000242,INS-001,2023-06-30,13888,agence
PAI-0000219,CRD-000026,ECH-0000243,INS-001,2023-07-30,13888,agence
PAI-0000220,CRD-000026,ECH-0000244,INS-001,2023-09-04,9157,agence
PAI-0000221,CRD-000026,ECH-0000244,INS-001,2023-09-26,13888,agence
PAI-0000222,CRD-000026,ECH-0000245,INS-001,2023-10-24,13888,agence
PAI-0000223,CRD-000026,,INS-001,2023-10-27,4731,agence
PAI-0000224,CRD-000026,ECH-0000247,INS-001,2023-11-29,13888,agence
PAI-0000225,CRD-000026,ECH-0000248,INS-001,2023-12-23,13888,agence
PAI-0000226,CRD-000026,ECH-0000249,INS-001,2024-01-24,13888,agence
PAI-0000227,CRD-000026,ECH-0000250,INS-001,2024-02-26,13888,mobile_money
PAI-0000228,CRD-000026,ECH-0000251,INS-001,2024-03-30,13888,mobile_money
PAI-0000229,CRD-000026,ECH-0000252,INS-001,2024-04-24,13888,mobile_money
PAI-0000230,CRD-000026,ECH-0000253,INS-001,2024-05-25,13888,agence
PAI-0000231,CRD-000026,ECH-0000254,INS-001,2024-06-24,13888,agence
PAI-0000232,CRD-000026,ECH-0000255,INS-001,2024-07-29,13888,collecteur
PAI-0000233,CRD-000026,ECH-0000256,INS-001,2024-08-28,13888,agence
PAI-0000234,CRD-000026,ECH-0000257,INS-001,2024-09-27,13888,mobile_money
PAI-0000235,CRD-000026,ECH-0000258,INS-001,2024-10-29,13904,agence
PAI-0000236,CRD-000027,ECH-0000259,INS-001,2025-06-22,55000,collecteur
PAI-0000237,CRD-000027,ECH-0000260,INS-001,2025-07-21,55000,agence
PAI-0000238,CRD-000027,ECH-0000261,INS-001,2025-08-15,55000,collecteur
PAI-0000239,CRD-000027,ECH-0000262,INS-001,2025-09-16,55000,agence
PAI-0000240,CRD-000027,ECH-0000263,INS-001,2025-11-03,55000,mobile_money
PAI-0000241,CRD-000027,ECH-0000264,INS-001,2025-11-21,55000,collecteur
PAI-0000242,CRD-000027,ECH-0000265,INS-001,2025-12-20,55000,agence
PAI-0000243,CRD-000028,ECH-0000271,INS-001,2025-01-22,50555,agence
PAI-0000244,CRD-000028,ECH-0000272,INS-001,2025-02-25,50555,mobile_money
PAI-0000245,CRD-000028,ECH-0000273,INS-001,2025-03-22,50555,agence
PAI-0000246,CRD-000028,ECH-0000274,INS-001,2025-04-24,50555,mobile_money
PAI-0000247,CRD-000028,ECH-0000275,INS-001,2025-05-21,50555,agence
PAI-0000248,CRD-000028,ECH-0000276,INS-001,2025-06-26,50555,collecteur
PAI-0000249,CRD-000028,ECH-0000277,INS-001,2025-07-19,50555,agence
PAI-0000250,CRD-000028,ECH-0000278,INS-001,2025-08-26,50555,mobile_money
PAI-0000251,CRD-000028,ECH-0000279,INS-001,2025-09-19,50555,agence
PAI-0000252,CRD-000028,ECH-0000280,INS-001,2025-10-25,50555,agence
PAI-0000253,CRD-000028,ECH-0000281,INS-001,2025-11-19,50555,mobile_money
PAI-0000254,CRD-000029,ECH-0000289,INS-001,2024-09-04,125000,mobile_money
PAI-0000255,CRD-000029,ECH-0000290,INS-001,2024-09-29,125000,agence
PAI-0000256,CRD-000029,ECH-0000291,INS-001,2024-10-29,125000,agence
PAI-0000257,CRD-000029,ECH-0000292,INS-001,2024-11-30,125000,mobile_money
PAI-0000258,CRD-000029,ECH-0000293,INS-001,2024-12-29,125000,mobile_money
PAI-0000259,CRD-000029,ECH-0000294,INS-001,2025-02-01,125000,mobile_money
PAI-0000260,CRD-000029,ECH-0000295,INS-001,2025-03-02,125000,mobile_money
PAI-0000261,CRD-000029,ECH-0000296,INS-001,2025-04-04,125000,mobile_money
PAI-0000262,CRD-000029,ECH-0000297,INS-001,2025-05-03,125000,mobile_money
