identifiant_activite,identifiant_client,identifiant_institution,code_secteur,libelle_activite,est_activite_principale,date_debut_activite,date_fin_activite
ACT-000062,CLT-000051,INS-002,TRANSPORT,Taxi moto,1,2011-07-10,
ACT-000063,CLT-000051,INS-002,AGRICULTURE,Riziculture,0,2011-07-10,
ACT-000064,CLT-000052,INS-002,AGRICULTURE,Riziculture,1,2009-06-26,
ACT-000065,CLT-000053,INS-002,AGRICULTURE,Culture d'arachide,1,2009-06-06,
ACT-000066,CLT-000054,INS-002,ELEVAGE,Élevage de petits ruminants,1,2013-06-08,
ACT-000067,CLT-000055,INS-002,PETITE_PRODUCTION,Transformation de céréales,1,2015-03-02,
ACT-000068,CLT-000055,INS-002,ARTISANAT,Teinture de tissus,0,2015-03-02,
ACT-000069,CLT-000056,INS-002,AGRICULTURE,Production de mil,1,2015-11-29,
ACT-000070,CLT-000057,INS-002,AGRICULTURE,Culture d'arachide,1,2021-08-24,
ACT-000071,CLT-000058,INS-002,TRANSPORT,Location de tricycle,1,2018-04-15,
ACT-000072,CLT-000059,INS-002,AGRICULTURE,Culture maraîchère,1,2013-05-17,
ACT-000073,CLT-000060,INS-002,AGRICULTURE,Culture d'arachide,1,2017-08-10,
ACT-000074,CLT-000060,INS-002,PETITE_PRODUCTION,Séchage de fruits,0,2017-08-10,
ACT-000075,CLT-000061,INS-002,ELEVAGE,Production laitière,1,2023-08-11,
ACT-000076,CLT-000062,INS-002,PETITE_PRODUCTION,Production de jus,1,2018-03-14,
ACT-000077,CLT-000063,INS-002,AGRICULTURE,Riziculture,1,2018-08-30,
ACT-000078,CLT-000064,INS-002,AGRICULTURE,Production de mil,1,2020-02-08,
ACT-000079,CLT-000065,INS-002,COMMERCE,Vente de céréales,1,2023-04-04,
ACT-000080,CLT-000066,INS-002,AGRICULTURE,Production de mil,1,2015-07-13,
ACT-000081,CLT-000067,INS-002,ARTISANAT,Forge,1,2018-09-30,
ACT-000082,CLT-000068,INS-002,AGRICULTURE,Culture d'arachide,1,2021-04-07,
ACT-000083,CLT-000069,INS-002,ARTISANAT,Forge,1,2018-08-03,
ACT-000084,CLT-000070,INS-002,ELEVAGE,Élevage de volaille,1,2011-07-20,
ACT-000085,CLT-000071,INS-002,COMMERCE,Vente de céréales,1,2007-05-30,
ACT-000086,CLT-000071,INS-002,AGRICULTURE,Culture maraîchère,0,2007-05-30,
ACT-000087,CLT-000072,INS-002,ARTISANAT,Menuiserie,1,2018-09-03,
ACT-000088,CLT-000073,INS-002,ELEVAGE,Élevage de petits ruminants,1,2012-02-29,
ACT-000089,CLT-000074,INS-002,COMMERCE,Commerce de condiments,1,2017-02-28,
ACT-000090,CLT-000075,INS-002,ARTISANAT,Menuiserie,1,2020-09-17,
ACT-000091,CLT-000076,INS-002,TRANSPORT,Transport de personnes,1,2017-07-14,
ACT-000092,CLT-000076,INS-002,AGRICULTURE,Riziculture,0,2017-07-14,
ACT-000093,CLT-000077,INS-002,AGRICULTURE,Riziculture,1,2020-09-05,
ACT-000094,CLT-000078,INS-002,ELEVAGE,Embouche bovine,1,2020-04-14,
ACT-000095,CLT-000079,INS-002,ELEVAGE,Élevage de petits ruminants,1,2020-08-23,
ACT-000096,CLT-000080,INS-002,PETITE_PRODUCTION,Séchage de fruits,1,2017-07-21,
ACT-000097,CLT-000081,INS-002,RESTAURATION,Restaurant de rue,1,2020-11-14,
ACT-000098,CLT-000082,INS-002,SERVICES,Coiffure,1,2018-09-30,
ACT-000099,CLT-000082,INS-002,ELEVAGE,Embouche bovine,0,2018-09-30,
ACT-000100,CLT-000083,INS-002,TRANSPORT,Livraison de marchandises,1,2010-05-30,
ACT-000101,CLT-000084,INS-002,COMMERCE,Commerce de condiments,1,2021-01-03,
ACT-000102,CLT-000085,INS-002,TRANSPORT,Location de tricycle,1,2021-07-07,
ACT-000103,CLT-000086,INS-002,AGRICULTURE,Riziculture,1,2021-12-07,
ACT-000104,CLT-000087,INS-002,AGRICULTURE,Culture maraîchère,1,2020-09-08,
ACT-000105,CLT-000088,INS-002,AGRICULTURE,Culture maraîchère,1,2018-09-03,
ACT-000106,CLT-000089,INS-002,AGRICULTURE,Production de mil,1,2023-02-04,
ACT-000107,CLT-000090,INS-002,ELEVAGE,Embouche bovine,1,2018-09-09,
ACT-000108,CLT-000090,INS-002,TRANSPORT,Taxi moto,0,2018-09-09,
ACT-000109,CLT-000091,INS-002,SERVICES,Coiffure,1,2020-06-15,
ACT-000110,CLT-000091,INS-002,ELEVAGE,Élevage de volaille,0,2020-06-15,
ACT-000111,CLT-000092,INS-002,ELEVAGE,Embouche bovine,1,2023-11-22,
ACT-000112,CLT-000093,INS-002,AGRICULTURE,Production de mil,1,2014-04-16,
ACT-000113,CLT-000094,INS-002,ARTISANAT,Teinture de tissus,1,2023-05-23,
ACT-000114,CLT-000095,INS-002,AGRICULTURE,Culture d'arachide,1,2019-04-29,
ACT-000115,CLT-000096,INS-002,ELEVAGE,Élevage de volaille,1,2024-10-18,
ACT-000116,CLT-000096,INS-002,COMMERCE,Commerce de condiments,0,2024-10-18,
ACT-000117,CLT-000097,INS-002,RESTAURATION,Restaurant de rue,1,2024-06-22,
ACT-000118,CLT-000098,INS-002,AGRICULTURE,Culture d'arachide,1,2020-12-10,
ACT-000119,CLT-000099,INS-002,AGRICULTURE,Production de mil,1,2020-08-10,
ACT-000120,CLT-000100,INS-002,COMMERCE,Commerce de condiments,1,2016-11-09,
