identifiant_echeance,identifiant_credit,identifiant_institution,numero_echeance,date_exigible,montant_capital_du,montant_interet_du,montant_total_du
ECH-0000406,CRD-000046,INS-003,1,2023-12-17,27777,0,27777
ECH-0000407,CRD-000046,INS-003,2,2024-01-17,27777,0,27777
ECH-0000408,CRD-000046,INS-003,3,2024-02-17,27777,0,27777
ECH-0000409,CRD-000046,INS-003,4,2024-03-17,27777,0,27777
ECH-0000410,CRD-000046,INS-003,5,2024-04-17,27777,0,27777
ECH-0000411,CRD-000046,INS-003,6,2024-05-17,27777,0,27777
ECH-0000412,CRD-000046,INS-003,7,2024-06-17,27777,0,27777
ECH-0000413,CRD-000046,INS-003,8,2024-07-17,27777,0,27777
ECH-0000414,CRD-000046,INS-003,9,2024-08-17,27784,0,27784
ECH-0000415,CRD-000047,INS-003,1,2025-12-04,39583,0,39583
ECH-0000416,CRD-000047,INS-003,2,2026-01-04,39583,0,39583
ECH-0000417,CRD-000047,INS-003,3,2026-02-04,39583,0,39583
ECH-0000418,CRD-000047,INS-003,4,2026-03-04,39583,0,39583
ECH-0000419,CRD-000047,INS-003,5,2026-04-04,39583,0,39583
ECH-0000420,CRD-000047,INS-003,6,2026-05-04,39583,0,39583
ECH-0000421,CRD-000047,INS-003,7,2026-06-04,39583,0,39583
ECH-0000422,CRD-000047,INS-003,8,2026-07-04,39583,0,39583
ECH-0000423,CRD-000047,INS-003,9,2026-08-04,39583,0,39583
ECH-0000424,CRD-000047,INS-003,10,2026-09-04,39583,0,39583
ECH-0000425,CRD-000047,INS-003,11,2026-10-04,39583,0,39583
ECH-0000426,CRD-000047,INS-003,12,2026-11-04,39587,0,39587
ECH-0000427,CRD-000048,INS-003,1,2021-07-06,38333,0,38333
ECH-0000428,CRD-000048,INS-003,2,2021-08-06,38333,0,38333
ECH-0000429,CRD-000048,INS-003,3,2021-09-06,38333,0,38333
ECH-0000430,CRD-000048,INS-003,4,2021-10-06,38333,0,38333
ECH-0000431,CRD-000048,INS-003,5,2021-11-06,38333,0,38333
ECH-0000432,CRD-000048,INS-003,6,2021-12-06,38333,0,38333
ECH-0000433,CRD-000048,INS-003,7,2022-01-06,38333,0,38333
ECH-0000434,CRD-000048,INS-003,8,2022-02-06,38333,0,38333
ECH-0000435,CRD-000048,INS-003,9,2022-03-06,38333,0,38333
ECH-0000436,CRD-000048,INS-003,10,2022-04-06,38333,0,38333
ECH-0000437,CRD-000048,INS-003,11,2022-05-06,38333,0,38333
ECH-0000438,CRD-000048,INS-003,12,2022-06-06,38337,0,38337
ECH-0000439,CRD-000049,INS-003,1,2023-11-08,12500,0,12500
ECH-0000440,CRD-000049,INS-003,2,2023-12-08,12500,0,12500
ECH-0000441,CRD-000049,INS-003,3,2024-01-08,12500,0,12500
ECH-0000442,CRD-000049,INS-003,4,2024-02-08,12500,0,12500
ECH-0000443,CRD-000049,INS-003,5,2024-03-08,12500,0,12500
ECH-0000444,CRD-000049,INS-003,6,2024-04-08,12500,0,12500
ECH-0000445,CRD-000050,INS-003,1,2024-08-06,43888,0,43888
ECH-0000446,CRD-000050,INS-003,2,2024-09-06,43888,0,43888
ECH-0000447,CRD-000050,INS-003,3,2024-10-06,43888,0,43888
ECH-0000448,CRD-000050,INS-003,4,2024-11-06,43888,0,43888
ECH-0000449,CRD-000050,INS-003,5,2024-12-06,43888,0,43888
ECH-0000450,CRD-000050,INS-003,6,2025-01-06,43888,0,43888
ECH-0000451,CRD-000050,INS-003,7,2025-02-06,43888,0,43888
ECH-0000452,CRD-000050,INS-003,8,2025-03-06,43888,0,43888
ECH-0000453,CRD-000050,INS-003,9,2025-04-06,43896,0,43896
ECH-0000454,CRD-000051,INS-003,1,2025-03-18,42500,0,42500
ECH-0000455,CRD-000051,INS-003,2,2025-04-18,42500,0,42500
ECH-0000456,CRD-000051,INS-003,3,2025-05-18,42500,0,42500
ECH-0000457,CRD-000051,INS-003,4,2025-06-18,42500,0,42500
ECH-0000458,CRD-000051,INS-003,5,2025-07-18,42500,0,42500
ECH-0000459,CRD-000051,INS-003,6,2025-08-18,42500,0,42500
ECH-0000460,CRD-000051,INS-003,7,2025-09-18,42500,0,42500
ECH-0000461,CRD-000051,INS-003,8,2025-10-18,42500,0,42500
ECH-0000462,CRD-000051,INS-003,9,2025-11-18,42500,0,42500
ECH-0000463,CRD-000051,INS-003,10,2025-12-18,42500,0,42500
ECH-0000464,CRD-000051,INS-003,11,2026-01-18,42500,0,42500
ECH-0000465,CRD-000051,INS-003,12,2026-02-18,42500,0,42500
ECH-0000466,CRD-000052,INS-003,1,2026-01-04,27777,0,27777
ECH-0000467,CRD-000052,INS-003,2,2026-02-04,27777,0,27777
ECH-0000468,CRD-000052,INS-003,3,2026-03-04,27777,0,27777
ECH-0000469,CRD-000052,INS-003,4,2026-04-04,27777,0,27777
ECH-0000470,CRD-000052,INS-003,5,2026-05-04,27777,0,27777
ECH-0000471,CRD-000052,INS-003,6,2026-06-04,27777,0,27777
ECH-0000472,CRD-000052,INS-003,7,2026-07-04,27777,0,27777
ECH-0000473,CRD-000052,INS-003,8,2026-08-04,27777,0,27777
ECH-0000474,CRD-000052,INS-003,9,2026-09-04,27784,0,27784
