identifiant_credit,identifiant_demande,identifiant_institution,date_decaissement,montant_decaisse,duree_mois,type_amortissement,differe_mois,echeance_theorique,date_premiere_echeance,date_derniere_echeance_prevue
CRD-000065,DEM-000090,INS-004,2023-04-04,505000,9,differe_puis_mensuel,4,56111,2023-09-04,2024-05-04
CRD-000066,DEM-000091,INS-004,2025-11-26,480000,12,differe_puis_mensuel,5,40000,2026-05-26,2027-04-26
CRD-000067,DEM-000092,INS-004,2021-07-16,250000,9,mensuel_constant,0,27777,2021-08-16,2022-04-16
CRD-000068,DEM-000093,INS-004,2022-04-16,160000,9,mensuel_constant,0,17777,2022-05-16,2023-01-16
CRD-000069,DEM-000094,INS-004,2023-12-16,250000,9,mensuel_constant,0,27777,2024-01-16,2024-09-16
CRD-000070,DEM-000095,INS-004,2022-08-29,190000,9,mensuel_constant,0,21111,2022-09-29,2023-05-29
CRD-000071,DEM-000096,INS-004,2021-05-15,250000,6,mensuel_constant,0,41666,2021-06-15,2021-11-15
CRD-000072,DEM-000098,INS-004,2024-11-12,205000,9,mensuel_constant,0,22777,2024-12-12,2025-08-12
CRD-000073,DEM-000099,INS-004,2022-06-22,35000,9,mensuel_constant,0,3888,2022-07-22,2023-03-22
CRD-000074,DEM-000101,INS-004,2022-05-13,275000,12,mensuel_constant,0,22916,2022-06-13,2023-05-13
CRD-000075,DEM-000102,INS-004,2023-12-17,480000,12,mensuel_constant,0,40000,2024-01-17,2024-12-17
CRD-000076,DEM-000103,INS-004,2024-12-10,285000,6,mensuel_constant,0,47500,2025-01-10,2025-06-10
CRD-000077,DEM-000105,INS-004,2024-06-13,80000,12,mensuel_constant,0,6666,2024-07-13,2025-06-13
CRD-000078,DEM-000107,INS-004,2025-10-24,125000,9,mensuel_constant,0,13888,2025-11-24,2026-07-24
CRD-000079,DEM-000108,INS-004,2022-06-08,90000,9,mensuel_constant,0,10000,2022-07-08,2023-03-08
CRD-000080,DEM-000109,INS-004,2024-08-07,140000,9,mensuel_constant,0,15555,2024-09-07,2025-05-07
CRD-000081,DEM-000111,INS-004,2023-05-24,365000,12,mensuel_constant,0,30416,2023-06-24,2024-05-24
CRD-000082,DEM-000112,INS-004,2023-09-11,190000,9,mensuel_constant,0,21111,2023-10-11,2024-06-11
CRD-000083,DEM-000113,INS-004,2025-01-13,375000,6,differe_puis_mensuel,4,62500,2025-06-13,2025-11-13
CRD-000084,DEM-000114,INS-004,2025-10-30,410000,12,differe_puis_mensuel,5,34166,2026-04-30,2027-03-30
CRD-000085,DEM-000115,INS-004,2023-12-14,250000,6,mensuel_constant,0,41666,2024-01-14,2024-06-14
CRD-000086,DEM-000116,INS-004,2025-06-06,250000,6,mensuel_constant,0,41666,2025-07-06,2025-12-06
CRD-000087,DEM-000117,INS-004,2024-03-14,485000,6,differe_puis_mensuel,5,80833,2024-09-14,2025-02-14
CRD-000088,DEM-000118,INS-004,2025-09-11,170000,6,mensuel_constant,0,28333,2025-10-11,2026-03-11
CRD-000089,DEM-000120,INS-004,2023-11-08,165000,6,mensuel_constant,0,27500,2023-12-08,2024-05-08
CRD-000090,DEM-000121,INS-004,2025-03-02,250000,6,mensuel_constant,0,41666,2025-04-02,2025-09-02
CRD-000091,DEM-000122,INS-004,2024-06-17,250000,6,mensuel_constant,0,41666,2024-07-17,2024-12-17
CRD-000092,DEM-000123,INS-004,2024-01-30,765000,24,mensuel_constant,0,31875,2024-02-29,2026-01-30
CRD-000093,DEM-000124,INS-004,2025-06-30,250000,6,mensuel_constant,0,41666,2025-07-30,2025-12-30
CRD-000094,DEM-000126,INS-004,2025-06-02,600000,12,mensuel_constant,0,50000,2025-07-02,2026-06-02
CRD-000095,DEM-000130,INS-004,2025-10-16,220000,9,mensuel_constant,0,24444,2025-11-16,2026-07-16
CRD-000096,DEM-000132,INS-004,2025-11-15,100000,9,mensuel_constant,0,11111,2025-12-15,2026-08-15
CRD-000097,DEM-000133,INS-004,2025-09-10,435000,9,mensuel_constant,0,48333,2025-10-10,2026-06-10
