identifiant_demande,identifiant_client,identifiant_institution,identifiant_agent,identifiant_produit,date_demande,montant_demande,duree_demandee_mois,objet_credit,identifiant_releve_instruction,rang_demande_client
DEM-000090,CLT-000152,INS-004,AGT-0012,PRO-004,2023-03-13,505000,9,intrants,REL-000423,1
DEM-000091,CLT-000152,INS-004,AGT-0011,PRO-004,2025-11-10,625000,12,intrants,REL-000425,2
DEM-000092,CLT-000155,INS-004,AGT-0012,PRO-001,2021-07-08,250000,9,tresorerie,REL-000431,1
DEM-000093,CLT-000155,INS-004,AGT-0012,PRO-001,2022-04-14,250000,9,tresorerie,REL-000432,2
DEM-000094,CLT-000156,INS-004,AGT-0012,PRO-001,2023-11-18,250000,9,tresorerie,REL-000436,1
DEM-000095,CLT-000157,INS-004,AGT-0012,PRO-001,2022-08-10,250000,6,tresorerie,REL-000439,1
DEM-000096,CLT-000160,INS-004,AGT-0012,PRO-001,2021-04-21,250000,6,tresorerie,REL-000446,1
DEM-000097,CLT-000161,INS-004,AGT-0012,PRO-002,2021-08-08,420000,12,achat_stock,REL-000449,1
DEM-000098,CLT-000161,INS-004,AGT-0012,PRO-001,2024-10-14,205000,9,tresorerie,REL-000452,2
DEM-000099,CLT-000162,INS-004,AGT-0012,PRO-001,2022-06-08,35000,9,tresorerie,REL-000455,1
DEM-000100,CLT-000162,INS-004,AGT-0012,PRO-002,2024-09-06,50000,12,achat_stock,REL-000457,2
DEM-000101,CLT-000163,INS-004,AGT-0012,PRO-003,2022-04-19,325000,9,achat_stock,REL-000460,1
DEM-000102,CLT-000163,INS-004,AGT-0012,PRO-002,2023-11-20,600000,12,achat_stock,REL-000464,2
DEM-000103,CLT-000163,INS-004,AGT-0012,PRO-002,2024-11-17,285000,6,achat_stock,REL-000468,3
DEM-000104,CLT-000163,INS-004,AGT-0012,PRO-002,2025-08-10,310000,9,achat_stock,REL-000470,4
DEM-000105,CLT-000165,INS-004,AGT-0012,PRO-002,2024-05-25,80000,9,achat_stock,REL-000476,1
DEM-000106,CLT-000165,INS-004,AGT-0011,PRO-003,2025-07-17,100000,9,achat_stock,REL-000477,2
DEM-000107,CLT-000166,INS-004,AGT-0011,PRO-001,2025-09-25,125000,9,tresorerie,REL-000481,1
DEM-000108,CLT-000167,INS-004,AGT-0012,PRO-001,2022-05-20,90000,6,tresorerie,REL-000484,1
DEM-000109,CLT-000167,INS-004,AGT-0012,PRO-001,2024-07-07,140000,9,tresorerie,REL-000487,2
DEM-000110,CLT-000168,INS-004,AGT-0011,PRO-002,2025-07-22,240000,12,achat_stock,REL-000489,1
DEM-000111,CLT-000171,INS-004,AGT-0012,PRO-002,2023-05-14,570000,12,achat_stock,REL-000495,1
DEM-000112,CLT-000172,INS-004,AGT-0012,PRO-001,2023-08-24,235000,9,tresorerie,REL-000498,1
DEM-000113,CLT-000172,INS-004,AGT-0010,PRO-004,2025-01-05,375000,6,intrants,REL-000500,2
DEM-000114,CLT-000172,INS-004,AGT-0012,PRO-004,2025-10-22,470000,12,intrants,REL-000501,3
DEM-000115,CLT-000174,INS-004,AGT-0012,PRO-001,2023-12-03,250000,6,tresorerie,REL-000504,1
DEM-000116,CLT-000174,INS-004,AGT-0010,PRO-001,2025-05-15,250000,6,tresorerie,REL-000506,2
DEM-000117,CLT-000177,INS-004,AGT-0012,PRO-004,2024-03-08,485000,6,intrants,REL-000511,1
DEM-000118,CLT-000177,INS-004,AGT-0010,PRO-001,2025-09-05,250000,6,tresorerie,REL-000514,2
DEM-000119,CLT-000179,INS-004,AGT-0011,PRO-004,2025-06-18,100000,6,intrants,REL-000519,1
DEM-000120,CLT-000180,INS-004,AGT-0012,PRO-001,2023-11-03,250000,6,tresorerie,REL-000522,1
DEM-000121,CLT-000180,INS-004,AGT-0012,PRO-001,2025-02-16,250000,6,tresorerie,REL-000524,2
DEM-000122,CLT-000181,INS-004,AGT-0012,PRO-001,2024-06-08,250000,6,tresorerie,REL-000526,1
DEM-000123,CLT-000182,INS-004,AGT-0012,PRO-005,2024-01-25,765000,24,equipement,REL-000531,1
DEM-000124,CLT-000183,INS-004,AGT-0012,PRO-001,2025-06-07,250000,6,tresorerie,REL-000536,1
DEM-000125,CLT-000184,INS-004,AGT-0010,PRO-005,2025-10-06,150000,12,equipement,REL-000538,1
DEM-000126,CLT-000186,INS-004,AGT-0012,PRO-002,2025-05-22,600000,12,achat_stock,REL-000542,1
DEM-000127,CLT-000188,INS-004,AGT-0011,PRO-001,2025-05-19,25000,6,tresorerie,REL-000548,1
DEM-000128,CLT-000190,INS-004,AGT-0010,PRO-001,2024-12-12,250000,6,tresorerie,REL-000553,1
DEM-000129,CLT-000190,INS-004,AGT-0011,PRO-003,2025-08-22,100000,9,achat_stock,REL-000554,2
DEM-000130,CLT-000191,INS-004,AGT-0012,PRO-001,2025-10-04,220000,6,tresorerie,REL-000557,1
DEM-000131,CLT-000193,INS-004,AGT-0011,PRO-002,2025-06-03,50000,6,achat_stock,REL-000561,1
DEM-000132,CLT-000195,INS-004,AGT-0011,PRO-001,2025-10-22,100000,6,tresorerie,REL-000566,1
DEM-000133,CLT-000196,INS-004,AGT-0012,PRO-002,2025-08-19,600000,9,achat_stock,REL-000570,1
