identifiant_paiement,identifiant_credit,identifiant_echeance,identifiant_institution,date_paiement,montant_paye,canal_paiement
PAI-0000525,CRD-000065,ECH-0000625,INS-004,2023-09-05,56111,agence
PAI-0000526,CRD-000065,ECH-0000626,INS-004,2023-10-06,56111,collecteur
PAI-0000527,CRD-000065,ECH-0000627,INS-004,2023-11-04,36540,collecteur
PAI-0000528,CRD-000065,ECH-0000627,INS-004,2023-12-08,56111,mobile_money
PAI-0000529,CRD-000065,,INS-004,2023-12-12,19571,agence
PAI-0000530,CRD-000065,ECH-0000629,INS-004,2024-01-12,42640,mobile_money
PAI-0000531,CRD-000065,ECH-0000629,INS-004,2024-03-08,56111,collecteur
PAI-0000532,CRD-000065,,INS-004,2024-03-14,13471,agence
PAI-0000533,CRD-000065,ECH-0000631,INS-004,2024-04-05,56111,agence
PAI-0000534,CRD-000065,ECH-0000632,INS-004,2024-04-29,56111,agence
PAI-0000535,CRD-000065,ECH-0000633,INS-004,2024-05-04,24522,agence
PAI-0000536,CRD-000065,,INS-004,2024-07-09,31590,agence
PAI-0000537,CRD-000067,ECH-0000646,INS-004,2021-08-20,27777,agence
PAI-0000538,CRD-000067,ECH-0000647,INS-004,2021-09-19,27777,agence
PAI-0000539,CRD-000067,ECH-0000648,INS-004,2021-10-14,27777,collecteur
PAI-0000540,CRD-000067,ECH-0000649,INS-004,2021-11-18,27777,agence
PAI-0000541,CRD-000067,ECH-0000650,INS-004,2021-12-16,27777,agence
PAI-0000542,CRD-000067,ECH-0000651,INS-004,2022-01-15,27777,agence
PAI-0000543,CRD-000067,ECH-0000652,INS-004,2022-02-16,27777,mobile_money
PAI-0000544,CRD-000067,ECH-0000653,INS-004,2022-03-17,27777,mobile_money
PAI-0000545,CRD-000067,ECH-0000654,INS-004,2022-04-15,27784,mobile_money
PAI-0000546,CRD-000068,ECH-0000655,INS-004,2022-05-14,17777,collecteur
PAI-0000547,CRD-000068,ECH-0000656,INS-004,2022-06-15,17777,mobile_money
PAI-0000548,CRD-000068,ECH-0000657,INS-004,2022-07-13,17777,mobile_money
PAI-0000549,CRD-000068,ECH-0000658,INS-004,2022-08-18,17777,collecteur
PAI-0000550,CRD-000068,ECH-0000659,INS-004,2022-09-18,17777,agence
PAI-0000551,CRD-000068,ECH-0000660,INS-004,2022-10-15,17777,agence
PAI-0000552,CRD-000068,ECH-0000661,INS-004,2022-11-18,17777,mobile_money
PAI-0000553,CRD-000068,ECH-0000662,INS-004,2022-12-15,17777,mobile_money
PAI-0000554,CRD-000068,ECH-0000663,INS-004,2023-01-15,17784,agence
PAI-0000555,CRD-000069,ECH-0000664,INS-004,2024-01-14,27777,agence
PAI-0000556,CRD-000069,ECH-0000665,INS-004,2024-02-16,27777,mobile_money
PAI-0000557,CRD-000069,ECH-0000666,INS-004,2024-03-20,27777,agence
PAI-0000558,CRD-000069,ECH-0000667,INS-004,2024-04-16,27777,collecteur
PAI-0000559,CRD-000069,ECH-0000668,INS-004,2024-05-19,27777,agence
PAI-0000560,CRD-000069,ECH-0000669,INS-004,2024-06-18,27777,mobile_money
PAI-0000561,CRD-000069,ECH-0000670,INS-004,2024-07-16,27777,agence
PAI-0000562,CRD-000069,ECH-0000671,INS-004,2024-08-13,27777,collecteur
PAI-0000563,CRD-000069,ECH-0000672,INS-004,2024-09-19,27784,agence
PAI-0000564,CRD-000070,ECH-0000673,INS-004,2022-09-26,21111,mobile_money
PAI-0000565,CRD-000070,ECH-0000674,INS-004,2022-11-02,21111,agence
PAI-0000566,CRD-000070,ECH-0000675,INS-004,2022-11-30,21111,agence
PAI-0000567,CRD-000070,ECH-0000676,INS-004,2023-01-02,21111,agence
PAI-0000568,CRD-000070,ECH-0000677,INS-004,2023-01-31,21111,mobile_money
PAI-0000569,CRD-000070,ECH-0000678,INS-004,2023-02-28,21111,collecteur
PAI-0000570,CRD-000070,ECH-0000679,INS-004,2023-03-26,21111,agence
PAI-0000571,CRD-000070,ECH-0000680,INS-004,2023-04-29,21111,collecteur
PAI-0000572,CRD-000070,ECH-0000681,INS-004,2023-06-02,21112,agence
PAI-0000573,CRD-000071,ECH-0000682,INS-004,2021-06-13,41666,mobile_money
PAI-0000574,CRD-000071,ECH-0000683,INS-004,2021-07-14,41666,agence
PAI-0000575,CRD-000071,ECH-0000684,INS-004,2021-08-16,41666,agence
PAI-0000576,CRD-000071,ECH-0000685,INS-004,2021-09-14,41666,agence
PAI-0000577,CRD-000071,ECH-0000686,INS-004,2021-10-13,41666,agence
PAI-0000578,CRD-000071,ECH-0000687,INS-004,2021-11-12,41670,agence
PAI-0000579,CRD-000072,ECH-0000688,INS-004,2024-12-10,22777,agence
PAI-0000580,CRD-000072,ECH-0000689,INS-004,2025-01-16,22777,agence
PAI-0000581,CRD-000072,ECH-0000690,INS-004,2025-02-10,22777,mobile_money
PAI-0000582,CRD-000072,ECH-0000691,INS-004,2025-03-15,22777,collecteur
PAI-0000583,CRD-000072,ECH-0000692,INS-004,2025-04-11,22777,mobile_money
PAI-0000584,CRD-000072,ECH-0000693,INS-004,2025-05-15,22777,agence
PAI-0000585,CRD-000072,ECH-0000694,INS-004,2025-07-11,22777,mobile_money
PAI-0000586,CRD-000072,ECH-0000695,INS-004,2025-07-23,22777,agence
PAI-0000587,CRD-000072,ECH-0000696,INS-004,2025-08-21,22784,mobile_money
PAI-0000588,CRD-000073,ECH-0000697,INS-004,2022-07-23,3888,agence
PAI-0000589,CRD-000073,ECH-0000698,INS-004,2022-08-21,3888,agence
PAI-0000590,CRD-000073,ECH-0000699,INS-004,2022-09-21,3888,agence
PAI-0000591,CRD-000073,ECH-0000700,INS-004,2022-10-21,3888,agence
PAI-0000592,CRD-000073,ECH-0000701,INS-004,2022-11-19,3888,collecteur
PAI-0000593,CRD-000073,ECH-0000702,INS-004,2022-12-19,3888,agence
PAI-0000594,CRD-000073,ECH-0000703,INS-004,2023-01-21,3888,agence
PAI-0000595,CRD-000073,ECH-0000704,INS-004,2023-02-19,3888,mobile_money
PAI-0000596,CRD-000073,ECH-0000705,INS-004,2023-03-19,3896,agence
PAI-0000597,CRD-000074,ECH-0000706,INS-004,2022-06-15,22916,mobile_money
PAI-0000598,CRD-000074,ECH-0000707,INS-004,2022-07-14,22916,collecteur
PAI-0000599,CRD-000074,ECH-0000708,INS-004,2022-08-15,22916,agence
PAI-0000600,CRD-000074,ECH-0000709,INS-004,2022-09-10,22916,agence
PAI-0000601,CRD-000074,ECH-0000710,INS-004,2022-10-15,22916,agence
PAI-0000602,CRD-000074,ECH-0000711,INS-004,2022-11-16,22916,agence
PAI-0000603,CRD-000074,ECH-0000712,INS-004,2022-12-15,22916,agence
PAI-0000604,CRD-000074,ECH-0000713,INS-004,2023-01-16,22916,collecteur
PAI-0000605,CRD-000074,ECH-0000714,INS-004,2023-02-10,22916,agence
PAI-0000606,CRD-000074,ECH-0000715,INS-004,2023-03-11,22916,agence
PAI-0000607,CRD-000074,ECH-0000716,INS-004,2023-05-15,22924,agence
PAI-0000608,CRD-000075,ECH-0000718,INS-004,2024-01-17,28294,collecteur
PAI-0000609,CRD-000075,ECH-0000718,INS-004,2024-02-17,40000,mobile_money
PAI-0000610,CRD-000075,,INS-004,2024-03-17,11706,mobile_money
PAI-0000611,CRD-000075,ECH-0000720,INS-004,2024-03-19,40000,collecteur
