identifiant_client,identifiant_institution,identifiant_agence,date_entree_relation,date_sortie_relation,code_secteur_principal,anciennete_activite_mois_a_entree,possede_compte_epargne,montant_epargne_a_entree
CLT-000201,INS-005,AGE-035,2018-09-12,,COMMERCE,75,1,262500
CLT-000202,INS-005,AGE-035,2018-09-12,,AGRICULTURE,29,0,
CLT-000203,INS-005,AGE-035,2019-06-09,2022-10-09,AGRICULTURE,70,1,39500
CLT-000204,INS-005,AGE-038,2021-01-07,2022-02-07,COMMERCE,175,1,29000
CLT-000205,INS-005,AGE-037,2021-01-22,,ARTISANAT,109,1,41000
CLT-000206,INS-005,AGE-037,2021-02-28,2025-12-28,COMMERCE,20,1,127000
CLT-000207,INS-005,AGE-037,2021-05-02,2023-08-02,COMMERCE,70,1,44000
CLT-000208,INS-005,AGE-037,2021-12-04,,COMMERCE,28,1,25500
CLT-000209,INS-005,AGE-038,2022-01-17,,COMMERCE,27,1,14000
CLT-000210,INS-005,AGE-039,2022-01-18,,COMMERCE,68,1,20000
CLT-000211,INS-005,AGE-039,2022-09-14,,RESTAURATION,9,1,9000
CLT-000212,INS-005,AGE-038,2022-09-15,,ARTISANAT,27,1,20000
CLT-000213,INS-005,AGE-039,2022-09-26,,COMMERCE,29,1,17000
CLT-000214,INS-005,AGE-040,2022-12-09,,COMMERCE,66,1,86000
CLT-000215,INS-005,AGE-039,2022-12-24,,COMMERCE,63,1,150500
CLT-000216,INS-005,AGE-041,2023-01-15,,SERVICES,51,1,15500
CLT-000217,INS-005,AGE-039,2023-02-04,,TRANSPORT,70,1,28000
CLT-000218,INS-005,AGE-040,2023-02-13,,PETITE_PRODUCTION,31,1,23500
CLT-000219,INS-005,AGE-038,2023-05-13,,RESTAURATION,36,0,
CLT-000220,INS-005,AGE-040,2023-06-02,,RESTAURATION,112,0,
CLT-000221,INS-005,AGE-037,2023-08-18,,PETITE_PRODUCTION,123,1,47500
CLT-000222,INS-005,AGE-037,2023-08-23,,COMMERCE,40,1,150500
CLT-000223,INS-005,AGE-037,2023-10-07,,PETITE_PRODUCTION,54,1,99000
CLT-000224,INS-005,AGE-035,2023-12-22,,AGRICULTURE,71,0,
CLT-000225,INS-005,AGE-035,2024-02-13,,RESTAURATION,105,1,20500
CLT-000226,INS-005,AGE-040,2024-02-15,,COMMERCE,348,1,26000
CLT-000227,INS-005,AGE-037,2024-03-19,,AGRICULTURE,65,0,
CLT-000228,INS-005,AGE-038,2024-03-23,,ELEVAGE,60,1,47000
CLT-000229,INS-005,AGE-040,2024-05-05,,SERVICES,244,1,18500
CLT-000230,INS-005,AGE-039,2024-08-08,,RESTAURATION,36,1,169500
CLT-000231,INS-005,AGE-038,2025-08-06,,COMMERCE,44,1,63500
CLT-000232,INS-005,AGE-036,2024-10-22,,TRANSPORT,54,1,28000
CLT-000233,INS-005,AGE-039,2024-11-03,,RESTAURATION,43,0,
CLT-000234,INS-005,AGE-041,2024-11-16,2025-11-16,PETITE_PRODUCTION,42,0,
CLT-000235,INS-005,AGE-039,2025-08-04,,ELEVAGE,23,1,111000
CLT-000236,INS-005,AGE-039,2025-01-01,,RESTAURATION,10,1,15500
CLT-000237,INS-005,AGE-037,2025-01-10,,TRANSPORT,27,0,
CLT-000238,INS-005,AGE-035,2025-01-24,,ARTISANAT,108,1,161000
CLT-000239,INS-005,AGE-037,2025-03-11,,AGRICULTURE,44,0,
CLT-000240,INS-005,AGE-041,2025-03-23,,ARTISANAT,360,0,
CLT-000241,INS-005,AGE-040,2025-04-22,,TRANSPORT,63,1,140000
CLT-000242,INS-005,AGE-040,2025-05-18,,TRANSPORT,187,0,
CLT-000243,INS-005,AGE-035,2025-05-19,,ARTISANAT,205,1,3000
CLT-000244,INS-005,AGE-037,2025-05-28,,AGRICULTURE,64,1,150500
CLT-000245,INS-005,AGE-035,2025-07-02,,PETITE_PRODUCTION,117,0,
CLT-000246,INS-005,AGE-036,2025-07-03,,AGRICULTURE,170,0,
CLT-000247,INS-005,AGE-038,2025-07-07,,SERVICES,54,1,37000
CLT-000248,INS-005,AGE-039,2025-08-26,,RESTAURATION,23,1,83000
CLT-000249,INS-005,AGE-037,2025-10-02,,ELEVAGE,18,0,
CLT-000250,INS-005,AGE-040,2025-12-20,,AGRICULTURE,10,1,58500
