identifiant_credit,identifiant_institution,date_arret_observation,jours_retard_max,nombre_echeances_impayees,capital_restant_du,statut_final,defaut_experimental,date_survenue_defaut,observation_censuree
CRD-000001,INS-001,2024-04-08,4,0,0,SOLDE,0,,0
CRD-000002,INS-001,2024-04-29,10,0,0,SOLDE_AVEC_RETARD,0,,0
CRD-000003,INS-001,2025-08-01,151,3,48082,DEFAUT_EXPERIMENTAL,1,2025-06-01,0
CRD-000004,INS-001,2023-07-30,3,0,0,SOLDE,0,,0
CRD-000005,INS-001,2025-12-31,3,0,0,SOLDE,0,,0
CRD-000006,INS-001,2025-07-17,11,0,0,SOLDE_AVEC_RETARD,0,,0
CRD-000007,INS-001,2025-12-31,0,0,422223,EN_COURS,0,,1
CRD-000008,INS-001,2025-05-29,33,0,0,SOLDE_AVEC_RETARD,0,,0
CRD-000009,INS-001,2025-01-12,90,1,48750,DEFAUT_EXPERIMENTAL,1,2025-01-12,0
CRD-000010,INS-001,2024-03-24,4,0,0,SOLDE,0,,0
CRD-000011,INS-001,2024-06-29,2,0,0,SOLDE,0,,0
CRD-000012,INS-001,2025-05-17,3,0,0,SOLDE,0,,0
CRD-000013,INS-001,2024-09-18,1,0,0,SOLDE,0,,0
CRD-000014,INS-001,2024-07-18,4,0,0,SOLDE,0,,0
CRD-000015,INS-001,2025-12-31,35,1,75000,EN_COURS,0,,0
CRD-000016,INS-001,2024-04-26,4,0,0,SOLDE,0,,0
CRD-000017,INS-001,2023-11-04,4,0,0,SOLDE,0,,0
CRD-000018,INS-001,2024-12-04,90,1,50000,DEFAUT_EXPERIMENTAL,1,2024-12-04,0
CRD-000019,INS-001,2025-04-18,55,0,0,SOLDE_AVEC_RETARD,0,,0
CRD-000020,INS-001,2025-12-31,1,0,0,SOLDE,0,,0
CRD-000021,INS-001,2024-10-06,4,0,0,SOLDE,0,,0
CRD-000022,INS-001,2025-10-21,4,0,0,SOLDE,0,,0
CRD-000023,INS-001,2025-12-31,3,0,293334,EN_COURS,0,,1
CRD-000024,INS-001,2024-07-31,4,0,0,SOLDE,0,,0
CRD-000025,INS-001,2025-12-31,4,0,19448,EN_COURS,0,,1
CRD-000026,INS-001,2025-01-24,31,0,0,SOLDE_AVEC_RETARD,0,,0
CRD-000027,INS-001,2025-12-31,16,0,275000,EN_COURS,0,,1
CRD-000028,INS-001,2025-12-31,9,1,353895,EN_COURS,0,,1
CRD-000029,INS-001,2025-10-29,4,0,0,SOLDE,0,,0
CRD-000030,INS-001,2025-06-16,4,0,0,SOLDE,0,,0
CRD-000031,INS-001,2024-02-06,3,0,0,SOLDE,0,,0
CRD-000032,INS-001,2025-12-31,4,0,0,SOLDE,0,,0
CRD-000033,INS-001,2024-09-26,3,0,0,SOLDE,0,,0
CRD-000034,INS-001,2025-01-04,4,0,0,SOLDE,0,,0
CRD-000035,INS-001,2024-11-11,4,0,0,SOLDE,0,,0
CRD-000036,INS-001,2025-12-31,74,1,50000,EN_COURS,0,,0
CRD-000037,INS-001,2025-12-31,4,0,124446,EN_COURS,0,,1
CRD-000038,INS-001,2025-09-26,4,0,0,SOLDE,0,,0
CRD-000039,INS-001,2024-11-23,33,0,0,SOLDE_AVEC_RETARD,0,,0
CRD-000040,INS-001,2025-12-31,35,0,625000,EN_COURS,0,,1
CRD-000041,INS-001,2024-10-27,33,0,0,SOLDE_AVEC_RETARD,0,,0
CRD-000042,INS-001,2025-12-31,4,0,0,SOLDE,0,,0
CRD-000043,INS-001,2024-07-30,30,0,0,SOLDE_AVEC_RETARD,0,,0
CRD-000044,INS-001,2025-09-25,121,2,29250,DEFAUT_EXPERIMENTAL,1,2025-08-25,0
CRD-000045,INS-001,2024-12-09,4,0,0,SOLDE,0,,0
CRD-000046,INS-001,2025-12-10,90,1,42777,DEFAUT_EXPERIMENTAL,1,2025-12-10,0
CRD-000047,INS-001,2025-12-31,0,0,63335,EN_COURS,0,,1
CRD-000048,INS-001,2024-07-02,53,0,0,SOLDE_AVEC_RETARD,0,,0
CRD-000049,INS-001,2025-07-12,4,0,0,SOLDE,0,,0
CRD-000050,INS-001,2025-12-31,0,0,655000,EN_COURS,0,,1
CRD-000051,INS-001,2024-06-06,3,0,0,SOLDE,0,,0
CRD-000052,INS-001,2025-12-22,4,0,0,SOLDE,0,,0
CRD-000053,INS-001,2025-12-31,1,0,283334,EN_COURS,0,,1
CRD-000054,INS-001,2025-12-31,4,0,0,SOLDE,0,,0
CRD-000055,INS-001,2025-12-31,3,0,0,SOLDE,0,,0
CRD-000056,INS-001,2025-12-31,4,0,10000,EN_COURS,0,,1
CRD-000057,INS-001,2025-10-13,16,0,0,SOLDE_AVEC_RETARD,0,,0
CRD-000058,INS-001,2025-12-31,2,0,125000,EN_COURS,0,,1
CRD-000059,INS-001,2025-12-31,28,0,300000,EN_COURS,0,,1
CRD-000060,INS-001,2025-12-31,3,1,222223,EN_COURS,0,,1
CRD-000061,INS-001,2025-07-14,4,0,0,SOLDE,0,,0
CRD-000062,INS-001,2025-12-31,2,0,475556,EN_COURS,0,,1
CRD-000063,INS-001,2025-12-31,2,0,152504,EN_COURS,0,,1
CRD-000064,INS-001,2025-12-31,18,1,16667,EN_COURS,0,,1
CRD-000065,INS-001,2025-12-31,0,1,881667,EN_COURS,0,,1
