identifiant_institution,code_produit,poids_octroi
INS-001,CREDIT_AGRICOLE,0.0000
INS-001,CREDIT_COMMERCE,0.3500
INS-001,CREDIT_EQUIPEMENT,0.1000
INS-001,FONDS_ROULEMENT,0.4000
INS-001,MICROCREDIT_GENERAL,0.1500
INS-002,CREDIT_AGRICOLE,0.5500
INS-002,CREDIT_COMMERCE,0.0700
INS-002,CREDIT_EQUIPEMENT,0.0500
INS-002,FONDS_ROULEMENT,0.1300
INS-002,MICROCREDIT_GENERAL,0.2000
INS-003,CREDIT_AGRICOLE,0.0500
INS-003,CREDIT_COMMERCE,0.1300
INS-003,CREDIT_EQUIPEMENT,0.4200
INS-003,FONDS_ROULEMENT,0.2500
INS-003,MICROCREDIT_GENERAL,0.1500
INS-004,CREDIT_AGRICOLE,0.1600
INS-004,CREDIT_COMMERCE,0.2000
INS-004,CREDIT_EQUIPEMENT,0.1200
INS-004,FONDS_ROULEMENT,0.2400
INS-004,MICROCREDIT_GENERAL,0.2800
INS-005,CREDIT_AGRICOLE,0.1200
INS-005,CREDIT_COMMERCE,0.1700
INS-005,CREDIT_EQUIPEMENT,0.0800
INS-005,FONDS_ROULEMENT,0.2800
INS-005,MICROCREDIT_GENERAL,0.3500
