identifiant_institution,code_secteur,poids_population
INS-001,AGRICULTURE,0.0200
INS-001,ARTISANAT,0.0900
INS-001,COMMERCE,0.5200
INS-001,ELEVAGE,0.0000
INS-001,PETITE_PRODUCTION,0.0300
INS-001,RESTAURATION,0.0800
INS-001,SERVICES,0.1600
INS-001,TRANSPORT,0.1000
INS-002,AGRICULTURE,0.4400
INS-002,ARTISANAT,0.0900
INS-002,COMMERCE,0.1400
INS-002,ELEVAGE,0.1900
INS-002,PETITE_PRODUCTION,0.0600
INS-002,RESTAURATION,0.0100
INS-002,SERVICES,0.0300
INS-002,TRANSPORT,0.0400
INS-003,AGRICULTURE,0.0300
INS-003,ARTISANAT,0.3300
INS-003,COMMERCE,0.1300
INS-003,ELEVAGE,0.0100
INS-003,PETITE_PRODUCTION,0.2100
INS-003,RESTAURATION,0.0900
INS-003,SERVICES,0.1400
INS-003,TRANSPORT,0.0600
INS-004,AGRICULTURE,0.1800
INS-004,ARTISANAT,0.1300
INS-004,COMMERCE,0.2800
INS-004,ELEVAGE,0.0800
INS-004,PETITE_PRODUCTION,0.0500
INS-004,RESTAURATION,0.0700
INS-004,SERVICES,0.1300
INS-004,TRANSPORT,0.0800
INS-005,AGRICULTURE,0.1300
INS-005,ARTISANAT,0.1000
INS-005,COMMERCE,0.2600
INS-005,ELEVAGE,0.0400
INS-005,PETITE_PRODUCTION,0.0500
INS-005,RESTAURATION,0.1400
INS-005,SERVICES,0.1200
INS-005,TRANSPORT,0.1600
