identifiant_agent,identifiant_institution,severite,qualite_saisie
AGT-0001,INS-001,0.5223,0.5325
AGT-0002,INS-001,0.7504,0.5474
AGT-0003,INS-001,0.4113,0.8134
AGT-0004,INS-001,0.2632,0.8652
AGT-0005,INS-001,0.4976,0.5074
AGT-0006,INS-001,0.3776,0.5072
AGT-0007,INS-001,0.4351,0.9174
AGT-0008,INS-001,0.5595,0.5795
AGT-0009,INS-001,0.6038,0.7355
AGT-0010,INS-001,0.4673,0.8453
AGT-0011,INS-001,0.4291,0.7690
AGT-0012,INS-001,0.2683,0.6501
AGT-0013,INS-001,0.2892,0.2959
AGT-0014,INS-001,0.7189,0.9382
AGT-0015,INS-001,0.5592,0.5333
AGT-0016,INS-001,0.6797,0.8417
AGT-0017,INS-001,0.5506,0.6548
AGT-0018,INS-001,0.3860,0.6601
AGT-0019,INS-001,0.5321,0.8899
AGT-0020,INS-001,0.6714,0.9667
AGT-0021,INS-001,0.4109,0.8501
AGT-0022,INS-001,0.6500,0.7484
AGT-0023,INS-001,0.6167,0.7842
AGT-0024,INS-001,0.5671,0.9078
AGT-0025,INS-001,0.1810,0.7085
AGT-0026,INS-001,0.3994,0.6310
AGT-0027,INS-001,0.5035,0.8117
AGT-0028,INS-001,0.7752,0.9175
AGT-0029,INS-001,0.6999,0.9104
AGT-0030,INS-001,0.7111,0.6241
AGT-0031,INS-001,0.3278,0.7367
AGT-0032,INS-002,0.4194,0.8682
AGT-0033,INS-002,0.3510,0.8773
AGT-0034,INS-002,0.6641,0.8438
AGT-0035,INS-002,0.6767,0.9209
AGT-0036,INS-002,0.4167,0.9063
AGT-0037,INS-002,0.3432,0.8292
AGT-0038,INS-002,0.4404,0.6404
AGT-0039,INS-002,0.3940,0.7398
AGT-0040,INS-002,0.7725,0.9329
AGT-0041,INS-002,0.6408,0.8296
AGT-0042,INS-002,0.4090,0.7866
AGT-0043,INS-002,0.4674,0.6278
AGT-0044,INS-002,0.4396,0.7775
AGT-0045,INS-002,0.3826,0.9257
AGT-0046,INS-002,0.6272,0.4688
AGT-0047,INS-002,0.4226,0.8309
AGT-0048,INS-002,0.6537,0.4745
AGT-0049,INS-002,0.6390,0.7532
AGT-0050,INS-002,0.4554,0.6739
AGT-0051,INS-002,0.6545,0.8298
AGT-0052,INS-002,0.5507,0.9449
AGT-0053,INS-002,0.7512,0.9117
AGT-0054,INS-002,0.6818,0.5924
AGT-0055,INS-002,0.6527,0.4370
AGT-0056,INS-002,0.6131,0.4687
AGT-0057,INS-002,0.4775,0.6339
AGT-0058,INS-002,0.1773,0.4768
AGT-0059,INS-002,0.6424,0.7954
AGT-0060,INS-002,0.2820,0.6753
AGT-0061,INS-002,0.7377,0.6762
AGT-0062,INS-002,0.7318,0.8201
AGT-0063,INS-002,0.7361,0.8169
AGT-0064,INS-002,0.4659,0.9006
AGT-0065,INS-002,0.3320,0.9063
AGT-0066,INS-002,0.4937,0.4210
AGT-0067,INS-002,0.7068,0.6531
AGT-0068,INS-002,0.5293,0.8944
AGT-0069,INS-002,0.4765,0.8765
AGT-0070,INS-003,0.8239,0.7396
AGT-0071,INS-003,0.7506,0.9218
AGT-0072,INS-003,0.6304,0.5952
AGT-0073,INS-003,0.6565,0.5808
AGT-0074,INS-003,0.7527,0.9605
AGT-0075,INS-003,0.4832,0.5022
AGT-0076,INS-003,0.6437,0.5856
AGT-0077,INS-003,0.5728,0.9401
AGT-0078,INS-003,0.6859,0.9087
AGT-0079,INS-003,0.7321,0.8827
AGT-0080,INS-003,0.4852,0.8595
AGT-0081,INS-003,0.7578,0.5704
AGT-0082,INS-003,0.5696,0.8758
AGT-0083,INS-003,0.7397,0.8078
AGT-0084,INS-003,0.6729,0.5976
AGT-0085,INS-003,0.7089,0.7778
AGT-0086,INS-003,0.4730,0.6433
AGT-0087,INS-003,0.4557,0.7631
AGT-0088,INS-003,0.7296,0.8519
AGT-0089,INS-003,0.6094,0.7105
AGT-0090,INS-003,0.6605,0.8648
AGT-0091,INS-003,0.8971,0.5408
AGT-0092,INS-003,0.5323,0.7202
AGT-0093,INS-003,0.5614,0.7535
AGT-0094,INS-003,0.6641,0.7864
AGT-0095,INS-003,0.6857,0.7289
AGT-0096,INS-003,0.4822,0.7515
AGT-0097,INS-003,0.7521,0.7354
AGT-0098,INS-003,0.4757,0.4899
AGT-0099,INS-003,0.6572,0.7954
AGT-0100,INS-003,0.7132,0.7992
AGT-0101,INS-003,0.5825,0.6944
AGT-0102,INS-003,0.4661,0.9021
AGT-0103,INS-003,0.8349,0.8425
AGT-0104,INS-003,0.5106,0.7060
AGT-0105,INS-003,0.7912,0.8515
AGT-0106,INS-003,0.8317,0.7420
AGT-0107,INS-003,0.2812,0.8265
AGT-0108,INS-003,0.5158,0.8915
AGT-0109,INS-003,0.4930,0.7316
AGT-0110,INS-003,0.7563,0.7236
AGT-0111,INS-003,0.3445,0.7503
AGT-0112,INS-004,0.4259,0.7501
AGT-0113,INS-004,0.6241,0.8757
AGT-0114,INS-004,0.2290,0.8742
AGT-0115,INS-004,0.8797,0.4267
AGT-0116,INS-004,0.3683,0.8029
AGT-0117,INS-004,0.4397,0.8727
AGT-0118,INS-004,0.3314,0.8208
AGT-0119,INS-004,0.7611,0.4958
AGT-0120,INS-004,0.7263,0.4501
AGT-0121,INS-004,0.7937,0.8594
AGT-0122,INS-004,0.5889,0.9647
AGT-0123,INS-004,0.3403,0.5954
AGT-0124,INS-004,0.7551,0.8656
AGT-0125,INS-004,0.3463,0.8785
