identifiant_activite,identifiant_client,identifiant_institution,mois,recettes_reelles,charges_reelles,revenu_net_reel,indice_saison,effet_evenement,effet_macro
ACT-000003,CLT-000003,INS-001,2021-01,747748,701164,46585,1.1472,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2021-02,934299,876092,58207,1.0850,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2021-03,750004,703279,46725,1.0000,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2021-04,678015,635775,42240,0.9150,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2021-05,692564,649418,43147,0.8528,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2021-06,616921,578487,38434,0.8300,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2021-07,631206,591882,39324,0.8528,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2021-08,847246,794463,52783,0.9150,1.2019,1.0000
ACT-000003,CLT-000003,INS-001,2021-09,710684,666408,44276,1.0000,1.2019,1.0000
ACT-000003,CLT-000003,INS-001,2021-10,887755,832448,55307,1.0850,1.2019,1.0000
ACT-000003,CLT-000003,INS-001,2021-11,840008,787675,52332,1.1472,1.2019,1.0000
ACT-000003,CLT-000003,INS-001,2021-12,860975,807337,53639,1.1700,1.2019,1.0000
ACT-000003,CLT-000003,INS-001,2022-01,889057,833669,55388,1.1472,1.2019,1.0000
ACT-000003,CLT-000003,INS-001,2022-02,918391,861176,57216,1.0850,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2022-03,818957,767936,51021,1.0000,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2022-04,683461,640881,42580,0.9150,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2022-05,334101,313287,20814,0.8528,0.4497,1.0000
ACT-000003,CLT-000003,INS-001,2022-06,323017,302893,20124,0.8300,0.4497,1.0000
ACT-000003,CLT-000003,INS-001,2022-07,366037,343233,22804,0.8528,0.4497,1.0000
ACT-000003,CLT-000003,INS-001,2022-08,357147,334896,22250,0.9150,0.4497,1.0000
ACT-000003,CLT-000003,INS-001,2022-09,655623,614778,40845,1.0000,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2022-10,835131,830089,5043,1.0850,1.0844,1.0000
ACT-000003,CLT-000003,INS-001,2022-11,1092643,1086046,6597,1.1472,1.0844,1.0000
ACT-000003,CLT-000003,INS-001,2022-12,1221912,1214534,7378,1.1700,1.0844,1.0000
ACT-000003,CLT-000003,INS-001,2023-01,1001637,958020,43617,1.1472,1.0844,1.0000
ACT-000003,CLT-000003,INS-001,2023-02,723435,691932,31503,1.0850,1.0844,1.0000
ACT-000003,CLT-000003,INS-001,2023-03,776988,743153,33835,1.0000,1.0844,1.0000
ACT-000003,CLT-000003,INS-001,2023-04,527633,504657,22976,0.9150,0.5511,1.0000
ACT-000003,CLT-000003,INS-001,2023-05,693828,663615,30213,0.8528,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2023-06,732086,686477,45609,0.8300,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2023-07,823340,772046,51294,0.8528,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2023-08,784982,736078,48904,0.9150,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2023-09,874500,820019,54481,1.0000,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2023-10,910733,853994,56739,1.0850,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2023-11,1046165,980989,65176,1.1472,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2023-12,1205804,1130682,75122,1.1700,1.0000,1.0000
ACT-000003,CLT-000003,INS-001,2024-01,1127832,1078719,49113,1.1472,1.0000,1.0239
ACT-000003,CLT-000003,INS-001,2024-02,1649218,1577402,71817,1.0850,1.0000,1.0239
