identifiant_client,identifiant_institution,mois,revenu_net_activites,autres_revenus_menage,charges_menage,capacite_mensuelle,coussin_estime
CLT-000003,INS-001,2021-01,91589,375252,35539,431302,107825
CLT-000003,INS-001,2021-02,109980,332802,42675,400107,207852
CLT-000003,INS-001,2021-03,91548,397109,35523,453134,321136
CLT-000003,INS-001,2021-04,74112,584727,28757,630082,478656
CLT-000003,INS-001,2021-05,76200,456999,29568,503632,604564
CLT-000003,INS-001,2021-06,74533,429339,28921,474951,723302
CLT-000003,INS-001,2021-07,72183,496158,28009,540332,858385
CLT-000003,INS-001,2021-08,87293,336303,33872,389724,955816
CLT-000003,INS-001,2021-09,104601,365071,40588,429085,1063087
CLT-000003,INS-001,2021-10,112383,445114,43608,513889,1191559
CLT-000003,INS-001,2021-11,120988,572603,46946,646644,1353220
CLT-000003,INS-001,2021-12,110559,437163,42900,504822,1479426
CLT-000003,INS-001,2022-01,93677,568781,36349,626109,1635953
CLT-000003,INS-001,2022-02,88592,442419,34376,496635,1760112
CLT-000003,INS-001,2022-03,75740,568149,29389,614500,1913737
CLT-000003,INS-001,2022-04,58926,399791,22865,435853,2022700
CLT-000003,INS-001,2022-05,28816,404431,11181,422066,2128216
CLT-000003,INS-001,2022-06,31462,544009,12208,563263,2269032
CLT-000003,INS-001,2022-07,34898,519415,13541,540772,2404225
CLT-000003,INS-001,2022-08,36262,327152,14071,349344,2491561
CLT-000003,INS-001,2022-09,71720,436023,27829,479914,2611540
CLT-000003,INS-001,2022-10,61455,390823,23846,428432,2718648
CLT-000003,INS-001,2022-11,56868,516891,22066,551693,2856571
CLT-000003,INS-001,2022-12,51610,329383,20026,360967,2946813
CLT-000003,INS-001,2023-01,94851,593540,36805,651586,3109709
CLT-000003,INS-001,2023-02,87251,577871,33856,631267,3267526
CLT-000003,INS-001,2023-03,82853,325650,32149,376354,3361614
CLT-000003,INS-001,2023-04,44270,489438,17178,516530,3490747
CLT-000003,INS-001,2023-05,68365,385781,26527,427619,3597652
CLT-000003,INS-001,2023-06,79710,472196,30930,520977,3727896
CLT-000003,INS-001,2023-07,92247,366351,35794,422804,3833597
CLT-000003,INS-001,2023-08,106763,577256,41427,642593,3994245
CLT-000003,INS-001,2023-09,110792,404656,42990,472458,4112359
CLT-000003,INS-001,2023-10,97038,553058,37653,612443,4265470
CLT-000003,INS-001,2023-11,120571,343848,46785,417634,4369879
CLT-000003,INS-001,2023-12,131354,335368,50969,415753,4473817
CLT-000003,INS-001,2024-01,112634,409834,43705,478763,4593508
CLT-000003,INS-001,2024-02,131475,564434,51016,644893,4754731
CLT-000003,INS-001,2024-03,84318,499580,32718,551181,4892526
CLT-000003,INS-001,2024-04,92144,446790,35754,503180,5018321
CLT-000003,INS-001,2024-05,86258,462079,33470,514866,5147038
CLT-000003,INS-001,2024-06,73363,395858,28467,440754,5257226
CLT-000003,INS-001,2024-07,82879,414649,32159,465369,5373569
CLT-000003,INS-001,2024-08,94707,339545,36749,397503,5472944
CLT-000004,INS-001,2021-01,124037,0,70938,53099,13275
CLT-000004,INS-001,2021-02,77588,0,44373,33215,21578
CLT-000004,INS-001,2021-03,61294,0,35055,26239,28138
CLT-000004,INS-001,2021-04,69014,0,39470,29544,35524
CLT-000004,INS-001,2021-05,71311,0,40784,30527,43156
CLT-000006,INS-001,2021-01,6857,0,4477,2380,595
CLT-000006,INS-001,2021-02,6992,0,4565,2427,1202
CLT-000006,INS-001,2021-03,4742,0,3096,1646,1613
CLT-000006,INS-001,2021-04,4051,0,2645,1406,1964
CLT-000006,INS-001,2021-05,4117,0,2688,1429,2322
CLT-000006,INS-001,2021-06,4882,0,3188,1694,2745
CLT-000006,INS-001,2021-07,5597,0,3655,1942,3231
CLT-000006,INS-001,2021-08,6623,0,4325,2298,3805
CLT-000006,INS-001,2021-09,6466,0,4222,2244,4366
CLT-000006,INS-001,2021-10,6892,0,4500,2392,4964
CLT-000006,INS-001,2021-11,6285,0,4104,2181,5510
CLT-000006,INS-001,2021-12,6805,0,4443,2362,6100
CLT-000006,INS-001,2022-01,6638,0,4334,2304,6676
CLT-000006,INS-001,2022-02,5838,0,3812,2026,7182
CLT-000006,INS-001,2022-03,5876,0,3837,2039,7692
CLT-000006,INS-001,2022-04,6183,0,4037,2146,8229
CLT-000006,INS-001,2022-05,8275,0,5403,2872,8947
CLT-000006,INS-001,2022-06,9311,0,6080,3231,9755
CLT-000006,INS-001,2022-07,10461,0,6831,3630,10662
CLT-000006,INS-001,2022-08,11404,0,7446,3958,11652
CLT-000006,INS-001,2022-09,9958,0,6502,3456,12515
CLT-000006,INS-001,2022-10,-7885,0,0,-7885,10544
CLT-000006,INS-001,2022-11,-6895,0,0,-6895,8820
CLT-000006,INS-001,2022-12,-5915,0,0,-5915,7342
CLT-000006,INS-001,2023-01,2585,0,1688,897,7566
CLT-000006,INS-001,2023-02,1971,0,1287,684,7737
CLT-000006,INS-001,2023-03,2064,0,1348,716,7916
CLT-000006,INS-001,2023-04,1984,0,1295,689,8088
CLT-000006,INS-001,2023-05,1810,0,1182,628,8245
CLT-000006,INS-001,2023-06,5547,0,3622,1925,8727
CLT-000006,INS-001,2023-07,5744,0,3751,1993,9225
CLT-000006,INS-001,2023-08,6250,0,4081,2169,9767
CLT-000006,INS-001,2023-09,7807,0,5098,2709,10444
CLT-000006,INS-001,2023-10,8097,0,5287,2810,11147
CLT-000006,INS-001,2023-11,7103,0,4638,2465,11763
CLT-000006,INS-001,2023-12,6236,0,4072,2164,12304
CLT-000006,INS-001,2024-01,3040,0,1985,1055,12568
CLT-000006,INS-001,2024-02,2256,0,1473,783,12764
CLT-000006,INS-001,2024-03,1413,0,923,490,12886
CLT-000006,INS-001,2024-04,1317,0,860,457,13001
CLT-000006,INS-001,2024-05,1840,0,1201,639,13160
CLT-000006,INS-001,2024-06,2378,0,1553,825,13367
CLT-000006,INS-001,2024-07,3320,0,2168,1152,13655
CLT-000006,INS-001,2024-08,3026,0,1976,1050,13917
CLT-000006,INS-001,2024-09,3157,0,2061,1096,14191
CLT-000006,INS-001,2024-10,2717,0,1774,943,14427
CLT-000006,INS-001,2024-11,2801,0,1829,972,14670
CLT-000006,INS-001,2024-12,2923,0,1909,1014,14923
CLT-000006,INS-001,2025-01,-37117,0,0,-37117,5644
CLT-000006,INS-001,2025-02,-31891,0,0,-31891,0
CLT-000006,INS-001,2025-03,-26761,0,0,-26761,0
CLT-000006,INS-001,2025-04,-29043,0,0,-29043,0
