identifiant_evenement,identifiant_client,identifiant_institution,mois_debut,duree_mois,code_evenement,sens,intensite,source
EVT-000001,CLT-000003,INS-001,2021-08,6,desendettement,positif,0.3366,idiosyncratique
EVT-000002,CLT-000003,INS-001,2022-05,4,depense_exceptionnelle,negatif,0.5503,idiosyncratique
EVT-000003,CLT-000003,INS-001,2022-10,7,bonne_recolte,positif,0.1406,idiosyncratique
EVT-000004,CLT-000003,INS-001,2023-04,1,hausse_charges,negatif,0.4918,idiosyncratique
EVT-000005,CLT-000006,INS-001,2022-03,7,hausse_activite,positif,0.4071,idiosyncratique
EVT-000006,CLT-000006,INS-001,2022-04,5,nouvel_equipement,positif,0.3651,idiosyncratique
EVT-000007,CLT-000006,INS-001,2022-07,4,hausse_activite,positif,0.1655,idiosyncratique
EVT-000008,CLT-000006,INS-001,2024-01,9,nouveau_contrat,positif,0.3527,idiosyncratique
EVT-000009,CLT-000006,INS-001,2024-03,2,perte_stock,negatif,0.3573,macro
EVT-000010,CLT-000006,INS-001,2025-01,6,fermeture_temporaire,negatif,0.3126,idiosyncratique
EVT-000011,CLT-000006,INS-001,2025-10,3,elargissement_clientele,positif,0.1276,idiosyncratique
EVT-000012,CLT-000008,INS-001,2024-03,3,perte_stock,negatif,0.5532,macro
EVT-000013,CLT-000008,INS-001,2025-02,3,depense_exceptionnelle,negatif,0.3007,idiosyncratique
EVT-000014,CLT-000009,INS-001,2022-01,3,hausse_activite,positif,0.1718,idiosyncratique
EVT-000015,CLT-000010,INS-001,2021-07,8,fermeture_temporaire,negatif,0.1115,idiosyncratique
EVT-000016,CLT-000010,INS-001,2023-06,10,desendettement,positif,0.2182,idiosyncratique
EVT-000017,CLT-000010,INS-001,2024-04,3,perte_stock,negatif,0.2913,macro
EVT-000018,CLT-000010,INS-001,2024-11,10,mauvaise_recolte,negatif,0.6915,idiosyncratique
EVT-000019,CLT-000012,INS-001,2022-11,7,depense_exceptionnelle,negatif,0.3258,idiosyncratique
EVT-000020,CLT-000012,INS-001,2023-03,6,desendettement,positif,0.4147,idiosyncratique
EVT-000021,CLT-000012,INS-001,2025-11,6,hausse_charges,negatif,0.2730,idiosyncratique
EVT-000022,CLT-000013,INS-001,2021-11,8,bonne_recolte,positif,0.3060,idiosyncratique
EVT-000023,CLT-000013,INS-001,2023-03,7,nouvel_equipement,positif,0.2605,idiosyncratique
EVT-000024,CLT-000013,INS-001,2023-11,3,perte_stock,negatif,0.4597,idiosyncratique
EVT-000025,CLT-000013,INS-001,2024-10,2,depense_exceptionnelle,negatif,0.4808,macro
EVT-000026,CLT-000013,INS-001,2025-06,2,hausse_charges,negatif,0.1758,idiosyncratique
EVT-000027,CLT-000013,INS-001,2025-09,9,nouveau_contrat,positif,0.1825,idiosyncratique
EVT-000028,CLT-000014,INS-001,2021-12,7,perte_stock,negatif,0.1303,idiosyncratique
EVT-000029,CLT-000014,INS-001,2024-01,7,depense_exceptionnelle,negatif,0.5179,macro
EVT-000030,CLT-000015,INS-001,2021-12,5,bonne_recolte,positif,0.3472,idiosyncratique
EVT-000031,CLT-000016,INS-001,2021-05,2,fermeture_temporaire,negatif,0.0564,idiosyncratique
EVT-000032,CLT-000017,INS-001,2023-04,8,hausse_charges,negatif,0.2617,idiosyncratique
EVT-000033,CLT-000017,INS-001,2024-11,3,mauvaise_recolte,negatif,0.4270,macro
EVT-000034,CLT-000017,INS-001,2025-03,2,depense_exceptionnelle,negatif,0.5307,idiosyncratique
EVT-000035,CLT-000018,INS-001,2021-10,4,mauvaise_recolte,negatif,0.1463,idiosyncratique
EVT-000036,CLT-000018,INS-001,2022-08,8,mauvaise_recolte,negatif,0.4117,idiosyncratique
EVT-000037,CLT-000018,INS-001,2023-09,2,hausse_activite,positif,0.4179,idiosyncratique
EVT-000038,CLT-000018,INS-001,2024-04,5,perte_stock,negatif,0.4894,macro
EVT-000039,CLT-000020,INS-001,2024-07,9,hausse_activite,positif,0.2817,idiosyncratique
EVT-000040,CLT-000020,INS-001,2024-09,10,elargissement_clientele,positif,0.3072,idiosyncratique
EVT-000041,CLT-000020,INS-001,2025-09,1,depense_exceptionnelle,negatif,0.1245,idiosyncratique
EVT-000042,CLT-000021,INS-001,2021-05,5,perte_stock,negatif,0.4979,idiosyncratique
EVT-000043,CLT-000021,INS-001,2021-06,8,hausse_charges,negatif,0.2347,idiosyncratique
EVT-000044,CLT-000021,INS-001,2021-09,5,depense_exceptionnelle,negatif,0.1158,idiosyncratique
EVT-000045,CLT-000021,INS-001,2022-10,4,mauvaise_recolte,negatif,0.3787,idiosyncratique
EVT-000046,CLT-000021,INS-001,2023-02,4,hausse_activite,positif,0.3612,idiosyncratique
EVT-000047,CLT-000022,INS-001,2021-10,4,depense_exceptionnelle,negatif,0.2996,idiosyncratique
EVT-000048,CLT-000022,INS-001,2024-07,2,depense_exceptionnelle,negatif,0.2903,macro
EVT-000049,CLT-000022,INS-001,2025-06,4,hausse_charges,negatif,0.1896,idiosyncratique
EVT-000050,CLT-000024,INS-001,2021-10,6,baisse_ventes,negatif,0.1278,idiosyncratique
EVT-000051,CLT-000024,INS-001,2023-11,7,desendettement,positif,0.4186,idiosyncratique
EVT-000052,CLT-000024,INS-001,2024-01,2,elargissement_clientele,positif,0.0697,idiosyncratique
EVT-000053,CLT-000024,INS-001,2025-01,6,depense_exceptionnelle,negatif,0.3022,idiosyncratique
