mois,code_secteur,indice_activite,indice_charges,choc_actif
2021-01,AGRICULTURE,1.0000,1.0000,
2021-01,ARTISANAT,1.0000,1.0000,
2021-01,COMMERCE,1.0000,1.0000,
2021-01,ELEVAGE,1.0000,1.0000,
2021-01,PETITE_PRODUCTION,1.0000,1.0000,
2021-01,RESTAURATION,1.0000,1.0000,
2021-01,SERVICES,1.0000,1.0000,
2021-01,TRANSPORT,1.0000,1.0000,
2021-02,AGRICULTURE,1.0000,1.0000,
2021-02,ARTISANAT,1.0000,1.0000,
2021-02,COMMERCE,1.0000,1.0000,
2021-02,ELEVAGE,1.0000,1.0000,
2021-02,PETITE_PRODUCTION,1.0000,1.0000,
2021-02,RESTAURATION,1.0000,1.0000,
2021-02,SERVICES,1.0000,1.0000,
2021-02,TRANSPORT,1.0000,1.0000,
2021-03,AGRICULTURE,1.0000,1.0000,
2021-03,ARTISANAT,1.0000,1.0000,
2021-03,COMMERCE,1.0000,1.0000,
2021-03,ELEVAGE,1.0000,1.0000,
2021-03,PETITE_PRODUCTION,1.0000,1.0000,
2021-03,RESTAURATION,1.0000,1.0000,
2021-03,SERVICES,1.0000,1.0000,
2021-03,TRANSPORT,1.0000,1.0000,
2021-04,AGRICULTURE,1.0000,1.0000,
2021-04,ARTISANAT,1.0000,1.0000,
2021-04,COMMERCE,1.0000,1.0000,
2021-04,ELEVAGE,1.0000,1.0000,
2021-04,PETITE_PRODUCTION,1.0000,1.0000,
2021-04,RESTAURATION,1.0000,1.0000,
2021-04,SERVICES,1.0000,1.0000,
2021-04,TRANSPORT,1.0000,1.0000,
2021-05,AGRICULTURE,1.0000,1.0000,
2021-05,ARTISANAT,1.0000,1.0000,
2021-05,COMMERCE,1.0000,1.0000,
2021-05,ELEVAGE,1.0000,1.0000,
2021-05,PETITE_PRODUCTION,1.0000,1.0000,
2021-05,RESTAURATION,1.0000,1.0000,
2021-05,SERVICES,1.0000,1.0000,
2021-05,TRANSPORT,1.0000,1.0000,
2021-06,AGRICULTURE,1.0000,1.0000,
2021-06,ARTISANAT,1.0000,1.0000,
2021-06,COMMERCE,1.0000,1.0000,
2021-06,ELEVAGE,1.0000,1.0000,
2021-06,PETITE_PRODUCTION,1.0000,1.0000,
2021-06,RESTAURATION,1.0000,1.0000,
2021-06,SERVICES,1.0000,1.0000,
2021-06,TRANSPORT,1.0000,1.0000,
2021-07,AGRICULTURE,1.0000,1.0000,
2021-07,ARTISANAT,1.0000,1.0000,
2021-07,COMMERCE,1.0000,1.0000,
2021-07,ELEVAGE,1.0000,1.0000,
2021-07,PETITE_PRODUCTION,1.0000,1.0000,
2021-07,RESTAURATION,1.0000,1.0000,
2021-07,SERVICES,1.0000,1.0000,
2021-07,TRANSPORT,1.0000,1.0000,
2021-08,AGRICULTURE,1.0000,1.0000,
2021-08,ARTISANAT,1.0000,1.0000,
2021-08,COMMERCE,1.0000,1.0000,
2021-08,ELEVAGE,1.0000,1.0000,
2021-08,PETITE_PRODUCTION,1.0000,1.0000,
2021-08,RESTAURATION,1.0000,1.0000,
2021-08,SERVICES,1.0000,1.0000,
2021-08,TRANSPORT,1.0000,1.0000,
2021-09,AGRICULTURE,1.0000,1.0000,
2021-09,ARTISANAT,1.0000,1.0000,
2021-09,COMMERCE,1.0000,1.0000,
2021-09,ELEVAGE,1.0000,1.0000,
2021-09,PETITE_PRODUCTION,1.0000,1.0000,
2021-09,RESTAURATION,1.0000,1.0000,
2021-09,SERVICES,1.0000,1.0000,
2021-09,TRANSPORT,1.0000,1.0000,
2021-10,AGRICULTURE,1.0000,1.0000,
2021-10,ARTISANAT,1.0000,1.0000,
2021-10,COMMERCE,1.0000,1.0000,
2021-10,ELEVAGE,1.0000,1.0000,
