identifiant_demande,identifiant_institution,aurait_ete_decaisse,defaut_contrefactuel,jours_retard_max_contrefactuel,capital_perdu_contrefactuel
DEM-000002,INS-001,1,0,0,0
DEM-000005,INS-001,1,0,4,0
DEM-000006,INS-001,1,0,3,0
DEM-000007,INS-001,1,0,4,0
DEM-000014,INS-001,1,0,4,0
DEM-000027,INS-001,1,0,4,0
DEM-000028,INS-001,0,0,4,0
DEM-000036,INS-001,1,1,90,21810
DEM-000047,INS-001,1,0,26,0
DEM-000050,INS-001,1,0,3,0
DEM-000064,INS-001,1,0,2,0
DEM-000068,INS-001,1,0,59,0
DEM-000070,INS-001,1,0,2,0
DEM-000086,INS-001,1,0,3,0
DEM-000091,INS-001,1,0,4,0
DEM-000093,INS-001,1,0,4,0
DEM-000126,INS-001,1,0,64,0
DEM-000129,INS-001,1,0,4,0
DEM-000130,INS-001,1,0,4,0
DEM-000139,INS-001,1,0,3,0
DEM-000149,INS-001,1,0,4,0
DEM-000179,INS-001,1,0,4,0
DEM-000183,INS-001,1,0,3,0
DEM-000189,INS-001,1,0,4,0
DEM-000191,INS-001,1,0,1,0
DEM-000192,INS-001,1,0,1,0
DEM-000193,INS-001,1,0,4,0
DEM-000237,INS-001,1,0,3,0
DEM-000249,INS-001,0,0,28,0
DEM-000252,INS-001,1,0,2,0
DEM-000253,INS-001,1,0,3,0
DEM-000254,INS-001,1,0,4,0
DEM-000255,INS-001,1,0,4,0
DEM-000256,INS-001,0,0,4,0
DEM-000257,INS-001,1,0,4,0
DEM-000258,INS-001,1,0,1,0
DEM-000261,INS-001,1,1,151,116672
DEM-000263,INS-001,0,0,3,0
DEM-000264,INS-001,1,0,34,0
DEM-000267,INS-001,1,0,4,0
DEM-000268,INS-001,1,0,2,0
DEM-000271,INS-001,1,0,4,0
DEM-000277,INS-001,1,1,90,100000
DEM-000291,INS-001,0,0,35,0
DEM-000300,INS-001,1,1,90,50000
DEM-000302,INS-001,0,0,28,0
DEM-000312,INS-001,1,0,4,0
DEM-000313,INS-001,1,0,4,0
DEM-000314,INS-001,1,0,4,0
DEM-000324,INS-001,1,0,3,0
DEM-000328,INS-001,1,0,3,0
DEM-000330,INS-001,0,0,4,0
DEM-000331,INS-001,1,0,4,0
DEM-000335,INS-001,1,1,90,77083
DEM-000349,INS-001,1,0,3,0
DEM-000360,INS-001,1,0,4,0
