identifiant_injection,table_cible,identifiant_ligne,colonne,type_anomalie,valeur_vraie,valeur_publiee
INJ-000001,07b_releves_activite.csv,REL-000001,stock_estime,valeur_manquante,882220,
INJ-000002,07b_releves_activite.csv,REL-000004,autres_revenus_menage,valeur_manquante,329383,
INJ-000003,07b_releves_activite.csv,REL-000006,charges_mensuelles_declarees,valeur_manquante,118189,
INJ-000004,07b_releves_activite.csv,REL-000008,recettes_mensuelles_declarees,valeur_manquante,261760,
INJ-000005,07b_releves_activite.csv,REL-000016,recettes_mensuelles_declarees,valeur_manquante,424579,
INJ-000006,07b_releves_activite.csv,REL-000020,charges_menage,valeur_manquante,78094,
INJ-000007,07b_releves_activite.csv,REL-000027,recettes_mensuelles_declarees,valeur_manquante,35258,
INJ-000008,07b_releves_activite.csv,REL-000033,charges_mensuelles_declarees,valeur_manquante,44826,
INJ-000009,07b_releves_activite.csv,REL-000034,charges_menage,valeur_manquante,4905,
INJ-000010,07b_releves_activite.csv,REL-000044,charges_mensuelles_declarees,valeur_manquante,53515,
INJ-000011,07b_releves_activite.csv,REL-000053,recettes_mensuelles_declarees,valeur_manquante,938456,
INJ-000012,07b_releves_activite.csv,REL-000055,autres_revenus_menage,valeur_manquante,0,
INJ-000013,07b_releves_activite.csv,REL-000060,charges_mensuelles_declarees,valeur_manquante,112023,
INJ-000014,07b_releves_activite.csv,REL-000062,recettes_mensuelles_declarees,valeur_manquante,1396355,
INJ-000015,07b_releves_activite.csv,REL-000062,charges_mensuelles_declarees,valeur_manquante,1163634,
INJ-000016,07b_releves_activite.csv,REL-000063,recettes_mensuelles_declarees,valeur_manquante,1343457,
INJ-000017,07b_releves_activite.csv,REL-000064,recettes_mensuelles_declarees,valeur_manquante,1226262,
INJ-000018,07b_releves_activite.csv,REL-000066,charges_mensuelles_declarees,valeur_manquante,88061,
INJ-000019,07b_releves_activite.csv,REL-000070,autres_revenus_menage,valeur_manquante,52287,
INJ-000020,07b_releves_activite.csv,REL-000071,autres_revenus_menage,valeur_manquante,71159,
INJ-000021,07b_releves_activite.csv,REL-000082,charges_mensuelles_declarees,valeur_manquante,130493,
INJ-000022,07b_releves_activite.csv,REL-000082,stock_estime,valeur_manquante,124293,
INJ-000023,07b_releves_activite.csv,REL-000087,charges_mensuelles_declarees,valeur_manquante,90186,
INJ-000024,07b_releves_activite.csv,REL-000097,recettes_mensuelles_declarees,valeur_manquante,291953,
INJ-000025,07b_releves_activite.csv,REL-000100,stock_estime,valeur_manquante,225105,
INJ-000026,07b_releves_activite.csv,REL-000105,recettes_mensuelles_declarees,valeur_manquante,309365,
INJ-000027,07b_releves_activite.csv,REL-000105,charges_mensuelles_declarees,valeur_manquante,238789,
INJ-000028,07b_releves_activite.csv,REL-000106,autres_revenus_menage,valeur_manquante,0,
INJ-000029,07b_releves_activite.csv,REL-000122,stock_estime,valeur_manquante,200056,
INJ-000030,07b_releves_activite.csv,REL-000123,charges_mensuelles_declarees,incoherence_economique,225708,473720
INJ-000031,07b_releves_activite.csv,REL-000125,recettes_mensuelles_declarees,arrondi_suspect,168844,200000
INJ-000032,07b_releves_activite.csv,REL-000131,charges_mensuelles_declarees,incoherence_economique,136678,256395
INJ-000033,07b_releves_activite.csv,REL-000133,charges_mensuelles_declarees,valeur_manquante,221879,
INJ-000034,07b_releves_activite.csv,REL-000135,recettes_mensuelles_declarees,valeur_manquante,244736,
INJ-000035,07b_releves_activite.csv,REL-000142,charges_mensuelles_declarees,montant_aberrant,420427,42042700
INJ-000036,07b_releves_activite.csv,REL-000146,charges_mensuelles_declarees,incoherence_economique,349250,787934
INJ-000037,07b_releves_activite.csv,REL-000154,autres_revenus_menage,valeur_manquante,54138,
INJ-000038,07b_releves_activite.csv,REL-000156,stock_estime,valeur_manquante,233652,
INJ-000039,07b_releves_activite.csv,REL-000157,recettes_mensuelles_declarees,arrondi_suspect,232563,200000
INJ-000040,07b_releves_activite.csv,REL-000157,recettes_mensuelles_declarees,valeur_manquante,200000,
INJ-000041,07b_releves_activite.csv,REL-000158,charges_menage,valeur_manquante,1102,
INJ-000042,07b_releves_activite.csv,REL-000160,stock_estime,valeur_manquante,1109033,
